Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2009,9/18/2009,9/16/2009,"Bowman's Inc. of Mountain Home, Pocatello, ID 83201",Worker was buried in a trench.
FY 2009,9/18/2009,9/16/2009,"Hendren Tow Boat Company, Inc., Portland, OR 97217","Worker was boarding a tow boat and fell into the water, drowning."
FY 2009,9/18/2009,9/16/2009,"NYCPD 46 Pct., Bronx, NY 10457",The Worker collapsed in the locker room at the 46th Pct station house by an apparent heart failure. He was transported to St. Barnabas hospital where he was pronounced dead.
FY 2009,9/18/2009,9/16/2009,"Phillips Paving Company, Inc., Excelsior Springs, MO 64024",Worker was operating a Sakai Roller near the edge of a steep embankment and the Roller rolled off the embankment. The Worker jumped free and was crushed when the machine landed on top of him.
FY 2009,9/18/2009,9/17/2009,"Con-Tech Insulation LLC, Afton, MO 63123",Worker fell down an elevator shaft to the basement.
FY 2009,9/18/2009,9/17/2009,"Eugene Rayburn Lumber Co., Inc., Olive Hille, KY 41164",Worker was struck by a piece of lumber he was working on that kicked back and struck him in the chest. Cause of death was blunt force trauma.
FY 2009,9/18/2009,9/17/2009,"JW Senseney Orchards, Wenatchee, WA 98801","The Worker was run over by a concrete dump trailer. The Worker had severe spine, pelvic and skull injuries. He died from his injuries on 9/19/2006."
FY 2009,9/18/2009,9/17/2009,"Panda Garden Restaurant, Mesquite, NV 89027",The Worker was at the front desk of the Restaurant when he collapsed from an apparent heart attack. CPR was performed and he was transported to the hospital where he was pronounced dead.
FY 2009,9/18/2009,9/18/2009,"Strouhal Tire Centers, Corpus Christi, TX 78409","Worker was working under a front end loader utilizing a wooden block and a 20-ton bottle jack to lift a front end loader that fell, crushing the Worker."
FY 2009,9/18/2009,9/18/2009,"The Korte Company, Las Vegas, NV 89147",The Worker had come from the office trailer to the front lobby of the church where he was doing construction and collapsed. Workers administered CPR while on the phone with 911. He was transported to the hospital where he was pronounced dead.
FY 2009,9/25/2009,8/27/2009,"M.C. Dean, Inc., Doraville, GA 30340","Worker was working on a roof top performing some voltage testing on an exhaust fan. He fell 25.8 feet through the roof skylight, landing on the concrete inside the building."
FY 2009,9/25/2009,8/31/2009,"Future Lighting Services, LLC, Dublin, GA 31040","Worker was working from a scissor lift replacing a ballast to light a fixture. In connecting the ballast wires to the energized wires, worker received a fatal electrical shock and was electrocuted."
FY 2009,9/25/2009,9/11/2009,"Ault Bros. Inc. Electrical Contractors, Stuart, FL 34997","Worker fell 8 ft, 10 inches from a scaffold landing on the concrete floor below."
FY 2009,9/25/2009,9/11/2009,"J J Auto Air, Inc. dba Dependable Auto Repair, Winter Park, FL 32789","Worker was driving an ATV and lost control of the vehicle, running it into a wall."
FY 2009,9/25/2009,9/13/2009,"University of Chicago Hospitals, Chicago, IL 60637-1470","Worker was working with a strain of bacteria, and was complaining of shortness of breath and flu-like symptoms."
FY 2009,9/25/2009,9/14/2009,"Aarons Tree Service, Bradenton, FL 34208",Worker was cutting a tree and the limb he was cutting fell on him causing him to fall 40 feet to the ground below.
FY 2009,9/25/2009,9/14/2009,"Veolia Environmental Services Pinellas, Inc., St. Petersburg, FL 33716-2002",Worker was welding and was struck by a piece of metal.
FY 2009,9/25/2009,9/15/2009,"D & D Bluesprings LTD, Co., Eldridge, MO 65463","Worker fell off a mule, hitting his head on the gravel road."
FY 2009,9/25/2009,9/15/2009,"Fedex Express, Conway, AR 72032",Worker was delivering a package and was run over by a front end loader.
FY 2009,9/25/2009,9/15/2009,"Quincy Joist Co., Inc., Quincy, FL 32351-2714",Worker was struck by a joist.
FY 2009,9/25/2009,9/16/2009,"Northwest Illinois Construction, LLC, Morrison, IL 61270",Worker was struck by an on-site dump truck.
FY 2009,9/25/2009,9/18/2009,"K&C Auto Body Center, Inc., Syracuse, NY 13204",Worker was cutting off a drum. The drum exploded.
FY 2009,9/25/2009,9/18/2009,"Ocean Cable Group, Inc., Linwood, NJ 08221",Worker was removing an aerial drop and fell 20 feet from an extension ladder.
FY 2009,9/25/2009,9/18/2009,"Sams Club, Salina, KS 67401",Worker was found between a forklift and a metal beam.
FY 2009,9/25/2009,9/19/2009,"Kelchner, Inc., Miamisburg, OH 45342",Worker fell and was run over by a bulldozer.
FY 2009,9/25/2009,9/19/2009,"M.J. Electric, Florence, WI 54121",Worker was replacing a live line and wrecking out a couple of towers. Worker contacted a live line and was electrocuted.
FY 2009,9/25/2009,9/21/2009,"Hughes Erection and Fabrication, Bay St. Louis, MS 39520",Worker was in a manlift putting on an angle to a post and was found on the ground.
FY 2009,9/25/2009,9/21/2009,"Paper Tigers, Camden, AR 71701",Worker was welding near or on a baler and was discovered entrapped in the baler.
FY 2009,9/25/2009,9/23/2009,"Aurrora Elevator, Inc., Aurora, IA 50607",Worker was engulfed in a corn storage bin. Emergency rescue services discovered the worker buried beneath the corn.
FY 2009,9/25/2009,9/23/2009,"Superior Mobile Home and Transport, Greers Ferry, AR",Worker was spotting a mobile home. The home slipped off the jack onto the worker.
FY 2009,9/25/2009,9/24/2009,"Lattins Country Cider Mill & Farm, Olympia, WA 98501","The worker was confronted in the parking lot of Cider Mill. The worker ran into the barn, where shots were fired killing the worker."
FY 2009,9/25/2009,9/24/2009,"Underground Utilities Contractors, Inc., Cabot, AR 72023",Worker was installing a 7620-volt power line and was electrocuted.
FY 2009,9/25/2009,9/25/2009,"Cross Country Vans Inc., Bosque Farms, NM 87068",The worker was found by another transport driver unconscious. Attempts to revive were unsuccessful.
FY 2009,9/25/2009,9/25/2009,"Protection Service Inc., High Point, NC 27260",The worker was clearing a traffic control work zone when he was struck by a vehicle in the closed lane.
FY 2009,9/25/2009,9/25/2009,"Rooster, La Rue, OH 43332",Worker was cleaning poultry coops/bins and fell 18-20 feet off an extension ladder.
