Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2012,4/21/2012,4/20/2012,"Lunda Construction Company, De Pere, WI 54115",Worker connecting a boom to a crane was killed after the crane's arm fell on him.
FY 2012,4/21/2012,4/20/2012,"Robert Ochoa dba Robert Ochoa, Mooresville, NC 28117",Worker repairing a residential roof died after falling 13 feet onto a concrete driveway.
FY 2012,4/28/2012,3/22/2012,"Leeman Architectural Woodwork, Powder Spring, GA 30127",Forklift operator was crushed between the lift's mast and truck while attempting to release a dump bucket attached to the forks.
FY 2012,4/28/2012,3/24/2012,"A and A Farms Inc., Bunnlevel, NC 28323",Farm worker was killed after a box of seed potatoes fell on him.
FY 2012,4/28/2012,4/10/2012,"Parker Logging, Brandon, MS 39042",Worker cutting down trees was struck and killed by a falling tree.
FY 2012,4/28/2012,4/14/2012,"D Barro Landscaping Service Inc., Leonia, NJ 07605",Worker repairing an uprooted sidewalk at a construction site was crushed after a concrete slab hanging from a bobcat fell on him.
FY 2012,4/28/2012,4/17/2012,"A.F.R. of Georgia Inc., Winder, GA 30680",Worker at a fiberglass manufacturing facility died after suffering a seizure.
FY 2012,4/28/2012,4/17/2012,"General Asphalt Co. Inc., Deerfield Beach, FL 33441",Worker repaving part of a highway was killed after being run over by a dump truck.
FY 2012,4/28/2012,4/24/2012,"Evraz Rocky Mountain Steel, Pueblo, CO 81004",Worker was run over and killed by a powered industrial truck.
FY 2012,4/28/2012,4/24/2012,"Oxton Transport Inc., Red Oak, IA 51566",Driver on top of transport trailer while monitoring levels of liquid fertilizer died after falling to the concrete after suffering a stroke.
FY 2012,4/28/2012,4/24/2012,"Quality Power & Control, Allen, NE 68710",Worker performing electrical services was electrocuted.
FY 2012,4/28/2012,4/24/2012,"Wigand Disposal Company, Princeville, IL 61559",Worker collecting garbage died after he was run over by the trash truck.
FY 2012,4/28/2012,4/26/2012,"PJE Lawn Care, Greenfield, IN 46163","Landscape worker using a tractor with attached chain to remove a tree stump drowned when the chain failed, causing the tractor to roll into a pond, trapping him underwater."
FY 2012,4/28/2012,4/27/2012,"City of Manchester- Public Works Dept., Manchester, KY 40962",Worker was killed when part of a trench wall fell on him.
FY 2012,4/28/2012,4/27/2012,"Dakota Steel, Rapid City, SD 57702","Steel worker using a machine to bend an elevated steel beam was killed when the 1,600-pound beam fell on him."
FY 2012,4/28/2012,4/28/2012,"Northern California Institute for Research and Education, San Francisco, CA 94121",Lab worker died from complications related to exposure to infectious bacteria.
FY 2012,5/5/2012,3/28/2012,"Commercial Trade Source, Lafayette, IN 47906",Worker died after falling five feet from a ladder while installing metal cable above a drop ceiling.
FY 2012,5/5/2012,3/28/2012,"Delta Construction, Plano, TX 75075",A worker at a construction site was killed after a catering truck hit him.
FY 2012,5/5/2012,3/28/2012,"Indus Construction LP, San Antonio, TX 78210",Bridge worker installing rebar was killed after falling 18 feet.
FY 2012,5/5/2012,4/13/2012,"Peekskill City Dept. of Public Works, Peekskill, NY 10566",Worker for a public works department suffered head trauma after falling from a truck.
FY 2012,5/5/2012,4/16/2012,"Marcella Juarez Concrete, Mandeville, LA 70448",Construction worker was struck and killed by lightning while pouring a concrete slab.
FY 2012,5/5/2012,4/18/2012,"MEI Rigging and Crating, Dallas, TX 75235",Worker was run over and killed by a forklift used to deliver materials at a construction site.
FY 2012,5/5/2012,4/18/2012,"WM Contractor, Galveston, TX 77554",Worker power washing a metal roof died after stepping on a fiberglass skylight and falling 35 feet.
FY 2012,5/5/2012,4/19/2012,"Juan Alejandro Alvarez, Angleton, TX 77515",Worker repairing a roof died when he fell 22 feet through a fiberglass skylight onto concrete.
FY 2012,5/5/2012,4/21/2012,"BAC #2 Investments LLC, New Orleans, LA 70122",Worker pressure washing near a wall was killed when the wall collapsed.
FY 2012,5/5/2012,4/21/2012,"Dan D. Drilling Inc., Capron, OK 73717",Worker for a drilling company died when he fell from a derrick platform to the rig floor.
FY 2012,5/5/2012,4/23/2012,"Horizon Energy Services LLC, Oklahoma City, OK 73135","Drilling worker was killed when a hydraulic line used to lift machinery broke, pinning him underneath the equipment."
FY 2012,5/5/2012,4/28/2012,"DSNK Corporation, Washington, DC 20002","Worker lifting guardrails up to a third floor balcony died when the guardrail he leaned against collapsed, causing him to fall 21 feet to the concrete."
FY 2012,5/5/2012,4/28/2012,"ISM Insulation, Magnolia, TX 77355","Worker using scaffold to spray foam insulation on a wall died after his ladder slipped, causing him to fall."
FY 2012,5/5/2012,4/30/2012,"ConocoPhillips, Borger, TX 79008",Worker installing hydraulics at a silo chute died from a 20-foot fall when the chute moved to a vertical position.
FY 2012,5/5/2012,4/30/2012,"Glavas LLC, Willoughby, OH",Worker performing electrical work died from head injuries when he fell 20 feet from a ladder.
FY 2012,5/5/2012,4/30/2012,"North American Shipbuilding, Larose, LA 70373",Worker for a shipuilding company died from a possible heart attack after being found unconscious at the bottom of a stairway.
FY 2012,5/5/2012,5/1/2012,"A-1 Siding Inc., Marion, IA 52302",Worker died after falling 13 feet from a ladder while working on a second story window at a private residence.
FY 2012,5/5/2012,5/1/2012,"USF Reddaway dba Reddaway, Fontana, CA 92237",Worker at a truck terminal died after being hit by a tractor used to move containers.
FY 2012,5/5/2012,5/2/2012,"E&B Paving, Indianapolis, IN 46204",Worker operating machines that produce asphalt was killed after being wedged between moving conveyor belts.
FY 2012,5/5/2012,5/3/2012,"Allison Marine Contractors, Amelia, LA 70340",Marine contract worker unhooking a pressure vessel from a crane line was killed when the vessel tipped over and fell on him.
FY 2012,5/5/2012,5/3/2012,"Frank's Casing Crew & Rental Tools, Lafayette, LA 70508",Worker at a tool company helping to move iron pipes was crushed when one of the pipes rolled over him.
FY 2012,5/5/2012,5/3/2012,"Ken's Firewood, Colusa, CA 95932",Worker performing demolition work was killed after a wall collapsed.
FY 2012,5/5/2012,5/4/2012,"Walsh Construction, Madison, IN 47250",Worker was operating an aerial lift and became wedged between the lift basket and beam.
FY 2012,5/5/2012,5/8/2012,"Knott Construction Inc., Forest City, NC 28043",Worker at a construction site was killed after he was hit on the head by a steel pipe that broke from a piece of scrap metal.
FY 2012,5/12/2012,12/11/2011,"DBA Giannini Landscaping, Massapequa, NY 11758",Worker performing landscaping services was electrocuted after touching electrical lines.
FY 2012,5/12/2012,3/5/2012,"Conn-Weld Industries Inc., Princeton, WV 24740",Worker died from burns suffered after a blasting machine caught fire.
FY 2012,5/12/2012,4/14/2012,"G&G Egg Inc., Spencer, IA 51301",Worker operating a lawn mower was found dead underneath the mower in a ditch.
FY 2012,5/12/2012,5/6/2012,"The Teaching Company Sales LLC, Chantilly, VA 20151","Worker was operating a stand-up lift truck when the top of the mast struck an iron beam over the doorway. The force of the impact caused the worker to be thrown from the truck, and the beam to become dislodged and strike the worker on the head."
FY 2012,5/12/2012,5/7/2012,"Malon D Mimms, Roswell, GA 30075",Worker on a roof taking measurements of the HVAC units died after falling 21 feet.
FY 2012,5/12/2012,5/7/2012,"Penzel Construction Co., Inc., Jackson, MO 63755",Worker assembling a crawler crane at a construction site was killed when his head was crushed between the crane's uncarriage and support pads.
FY 2012,5/12/2012,5/7/2012,"Schoeder & Tremayne, St. Louis, MO 63123","Warehouse worker operating a forklift died when the metal plate that bridges the gap between the loading dock and truck gave way, causing him to fall 6 feet off the dock."
FY 2012,5/12/2012,5/7/2012,"TAG Manufacturing Inc., Chattanooga, TN 37421",Worker stepped into an auger pit and became caught in the auger.
FY 2012,5/12/2012,5/8/2012,"High Ball Erector LLC, Boulder, CO 80303",Worker conducting steel erection activities was fatally wounded.
FY 2012,5/12/2012,5/8/2012,"Intercostal Roofing Solutions LLC, Orchid, FL 32967",Worker laying down sealant on a roof died after falling 40 feet to the cement ground.
FY 2012,5/12/2012,5/9/2012,"Allen & Gibbons Logging Inc., Canyonville, OR 97417","Worker had just set chokers in a unit of tree length on steep terrain. When the lines came tight, the log swung forward and struck the victim in the chest and head."
FY 2012,5/12/2012,5/9/2012,"Contractors Roofing & Supply Co., Lake Sherwood, MO 63357",Worker was electrocuted when the boom of the roofing supply truck contacted power lines hidden within tree branches.
FY 2012,5/12/2012,5/9/2012,"DLS Tree Services, Edgeworth, PA 15143",Worker was electrocuted when the pole saw he used to trim trees touched an overhead power line.
FY 2012,5/12/2012,5/9/2012,"Milestone Contractors, Indianapolis, IN 46204",Worker was walking in a private homeowner's yard and was struck by a motor vehicle.
FY 2012,5/12/2012,5/9/2012,"Unknown, Sacramento, CA 95828",Worker collapsed on roof.
FY 2012,5/12/2012,5/10/2012,"Pike Electric Corporation, Elm City, NC 27822",Worker had one hand on a truck that became energized and the electricity flowed through the worker's body.
FY 2012,5/12/2012,5/10/2012,"Roya and Isaac Musighi, Beverly Hills, CA 90210",Worker inside an unshored trench at a residential construction site was asphyxiated when the trench collapsed.
FY 2012,5/12/2012,5/10/2012,"Savanna Energy Services, Keatchie, LA 71046","Worker on a drilling rig was killed when his equipment was entangled in a mechanical unit, pulling him off the rig."
FY 2012,5/12/2012,5/11/2012,"Hoosier A1 Sanitary Sewer Services, New Castle, IN 47362",Worker was reeling in a high pressure water hose when the nozzle whipped around and the high pressure water cut the worker's carotid artery.
FY 2012,5/12/2012,5/12/2012,"CA Department of Justice, Sacramento, CA 95814","Worker passed away from cancer, one day after retiring. Worker was exposed to gas fumes and cleaning solvents while on duty. Not work-related."
FY 2012,5/12/2012,5/12/2012,"Wal-Mart Stores Inc., Fairfield, IA 52556","Worker was leaving store while on break, tripped on an outside curb and sustained head injuries."
FY 2012,5/19/2012,5/9/2012,"Arca Trucking Services LLC, Midland, TX 79706",Worker inside the cab of a truck fuel tank being welded to patch a leak was killed when the tank ignited and exploded.
FY 2012,5/19/2012,5/12/2012,"Cuyahoga Concrete Company, Cleveland, OH 44115",Worker using a pneumatic chisel to clean out the inside of a concrete truck was found dead.
FY 2012,5/19/2012,5/13/2012,"Downtown Design Services Inc., Hawley, TX 79525",Worker surveying a pipeline was electrocuted when the antenna he was using touched an overhead power line.
FY 2012,5/19/2012,5/14/2012,"Logistec USA Corp., Palmetto, FL 34221",Worker performing marine cargo handling activities was killed when a crane fell on him.
FY 2012,5/19/2012,5/14/2012,"Preston Memorial Hospital, Kingwood, WV 26537",Worker was killed after being struck by an elevator inside a hospital elevator shaft.
FY 2012,5/19/2012,5/15/2012,"Hightower Electric Company Ltd., Houston, TX 77066",Worker installing light fixtures in a remodeled building died when he fell off ladder after contacting live wiring.
FY 2012,5/19/2012,5/15/2012,"Viking Construction, Chico, CA 95926",Worker was widening freeway and fell approximately six feet.
FY 2012,5/19/2012,5/16/2012,"Circle C, Odessa, TX 79763",Worker extracting water from a well was found dead inside well.
FY 2012,5/19/2012,5/16/2012,"Dayton Freight Lines Inc., Kent, OH 44240",Worker for a freight line company scanning a bar code with a hand held bar code scanner was crushed by the mast of a lift truck.
FY 2012,5/19/2012,5/16/2012,"Gulf Coast Machine & Supply Company, Beaumont, TX 77705",Worker performing maintenance on an electrical panel was electrocuted.
FY 2012,5/19/2012,5/16/2012,"Missouri American Water, Joplin, MO 64804","Worker cutting pipe with a pipe saw died when the saw kicked back, striking the worker in the throat."
FY 2012,5/19/2012,5/16/2012,"Total Marine Services, Harvey, LA 70058",Worker drowned while recovering a boat.
FY 2012,5/19/2012,5/17/2012,"ACME Tools and Rentals, Bemidji, MN 56601",Worker inside an elevated lift bucket was electrocuted when the lift touched an energized wire.
FY 2012,5/19/2012,5/17/2012,"Airport Road, New Orleans, LA 70113",Worker cutting grating on a ladder died from a 9-foot fall when a piece of the grating fell on him.
FY 2012,5/19/2012,5/17/2012,"Bras-Al Construction Corp., New York, NY 10013",Worker on a construction site died after falling two stories from a scaffold and landing on a sidewalk shed.
FY 2012,5/19/2012,5/17/2012,"Breaux's Mini-Mart, Lafayette, LA 70501","Worker cutting meat at a market died from severe bleeding when he blacked out, falling onto a saw."
FY 2012,5/19/2012,5/17/2012,"SSA Marine Inc., Seattle, WA 98134",Worker was caught-in-between forklift and forklift's overhead protection after climbing over steering wheel and inadvertently activating controls.
FY 2012,5/19/2012,5/18/2012,"ABM Facility Services Inc., Ontario, CA 91767",Building maintenance worker changing a device used to stabilize the current in an electrical circuit was electrocuted.
FY 2012,5/19/2012,5/18/2012,"Manatts Inc., Ames, IA 50010",Worker at an asphalt manufacturing facility was killed when his head was caught in a tank door.
FY 2012,5/19/2012,5/19/2012,"Wente Family Estates/Wente Vineyards Restaurant, Livemore, CA 94550",Worker catering an all-day outdoor event died from possible heat-related illness.
FY 2012,5/19/2012,5/21/2012,"Shuster's Logging Inc., Navarro, CA 95490",Worker for a logging company was killed when a tree fell on him.
FY 2012,5/26/2012,4/16/2012,"Keuka Lake Vineyards Ltd., Hammondsport, NY 14840",Worker at a vineyard was crushed by tractor that rolled over during a spraying operation.
FY 2012,5/26/2012,4/25/2012,"Adirondack Utility Construction Inc., Middletown Springs, VT 05757","Utility worker installing telecommunications lines from inside a steel bucket was electrocuted when the bucket truck contacted a 7,200-volt power line."
FY 2012,5/26/2012,5/5/2012,"Americold Logistics LLC, Tacoma, WA 98424",Warehouse worker stranded on a platform 35 feet high after his forklift malfunctioned died when he fell from another forklift used to rescue him.
FY 2012,5/26/2012,5/17/2012,"Priemo Homes, Siren, WI 54872",Worker performing roofing activities died after collapsing on the roof.
FY 2012,5/26/2012,5/18/2012,"ASAP Seamless Gutters, Secaucus, NJ 07094",Worker died after being ejected from a 40-foot high aerial lift basket.
FY 2012,5/26/2012,5/18/2012,"Brandywine Railroad Subsidiary of Arcelor Mittal, Conshohocken, PA 19428","Railroad worker, who opened up the door to a railcar containing rolls of paper, was crushed when the paper rolls fell on him."
FY 2012,5/26/2012,5/19/2012,"Sandmeyer Steel Company, Philadelphia, PA 19116",Worker painting a fence was struck and killed by a moving vehicle.
FY 2012,5/26/2012,5/20/2012,"Columbia County Mental Health, St. Helens, OR 97051",Worker delivering medications at a mental health facility was attacked and fatally stabbed by a patient.
FY 2012,5/26/2012,5/22/2012,"American Contracting Enterprises Inc., Pittsburgh, PA 15206",Worker performing asbestos removal was electrocuted.
FY 2012,5/26/2012,5/22/2012,"Arens Controls Company LLC, Arlington Heights, IL 60004",Worker testing energy components for use in hybrid vehicles was killed when an explosion occurred.
FY 2012,5/26/2012,5/22/2012,"Boss 4 Packing LLC, Heber, CA 92249",Worker died from possible heat stress after becoming unconscious while harvesting cantaloupes outdoors.
FY 2012,5/26/2012,5/22/2012,"Briteway Stripping Services Inc., Fairview Heights, IL 62208",Road construction worker was struck and killed by a motorist.
FY 2012,6/2/2012,2/21/2012,"Department of Human Services, Grand Rapids, MI 49507",A caseworker was shot and killed by a client who was upset about his benefits being denied.
FY 2012,6/2/2012,5/15/2012,"Coastal Chemical, Lake Park, FL 33403",Worker filling a chlorine tank died from exposure to the chemical.
FY 2012,6/2/2012,5/16/2012,"C & M Tree Experts, Dothan, AL 36301",Worker performing tree trimming operations died after falling 60 feet.
FY 2012,6/2/2012,5/20/2012,"15 Black LLC, Hartley, TX 79044",Worker making repairs to an irrigation system was electrocuted.
FY 2012,6/2/2012,5/20/2012,"Corrections Corporation of America, Natchez, MI 39120",Worker at a correctional facility was killed during a prison riot.
FY 2012,6/2/2012,5/21/2012,"Rainbow Land Nursery School Inc., Woodside, NY 11377",Worker fell from a ladder.
FY 2012,6/2/2012,5/24/2012,"Zimmerman Manufacturing LLC, New Holland, PA 17557",Worker in a manufacturing facility was killed when he fell 12 feet from a skid loader machine.
FY 2012,6/2/2012,5/25/2012,"Delsignore Blacktop Paving Inc., East Greenbush, NY 12061",Worker lowering a tall light mast used to illuminate large areas was electrocuted when the light fixture touched a power line.
FY 2012,6/2/2012,5/25/2012,"E.T.C. Inc., Stantonville, TN 38379",Worker was struck by a truck backing into the dock area.
FY 2012,6/2/2012,5/25/2012,"Espinoza Construction, Cincinnati, OH 45237",Worker performing roof repairs at a residential site died after falling off the roof.
FY 2012,6/2/2012,5/25/2012,"Hummel Machine & Tool Co., Kearny, NJ 07032",Worker operating a lathe machine at a tool and machine company died after a piece of flying glass cut his neck.
FY 2012,6/2/2012,5/25/2012,"Ocala Electric Utility, Ocala, FL 34482",Worker was electrocuted while repairing a damaged transmission line.
FY 2012,6/2/2012,5/25/2012,"Scott's Electric Inc., West Fargo, ND 58078",Worker installing electrical conduits in a building under construction was struck on the head and killed by a 28-foot steel beam.
FY 2012,6/2/2012,5/25/2012,"Tri-State Timber LLC, New Cambria, MO 63558",Worker cutting down trees died when a tree fell on him.
FY 2012,6/2/2012,5/28/2012,"Verso Paper, Sartell, MN 56307","Worker at a paper mill was killed when an air compressor inside the building exploded, causing a fire."
FY 2012,6/2/2012,5/29/2012,"Jim's Disposal Service LLC, Kansas City, MO 64118",Worker riding on the back of a trash truck was killed when he fell off and was run over by the truck.
FY 2012,6/2/2012,5/29/2012,"Pearl River Home Improvement Inc., Nanuet, NY 10954",Worker making repairs to a residential roof died after falling off roof.
FY 2012,6/2/2012,5/30/2012,"HG Construction, Bryant, IN 47326",Worker on a construction site was crushed when a bobcat construction machine rolled over his torso.
FY 2012,6/2/2012,5/30/2012,"Lex Electric Company Inc., Philadelphia, PA 19063",Worker was performing electrical work and fell from a ladder.
FY 2012,6/2/2012,5/30/2012,"Lowe's Construction, Crawfordsville, IN 47933",Worker on a grain bin roof removing a metal sheet was killed after being struck by a crane and falling 35 feet.
FY 2012,6/2/2012,5/30/2012,"Manistique Papers Inc., Manistique, MI 49854","Worker using powered industrial truck to remove paper rolls was killed when the truck tipped over, crushing the worker."
FY 2012,6/2/2012,5/30/2012,"Precision Drilling, Orange, TX 77631","Worker performing drilling operations 3,500 feet below the surface was found dead on rig stairs leading to a mud tank."
FY 2012,6/2/2012,5/31/2012,"Nelson Tree Service Inc., Youngtown, OH 44501",Worker clearing trees from power lines died after falling 45 feet.
FY 2012,6/2/2012,5/31/2012,"Reeco Well Services, Mentone, TX 79754",Worker for an oil and gas producer was killed after being struck on the back by a block while working on a rig floor.
FY 2012,6/2/2012,5/31/2012,"Steel Structures Inc., Wausau, WI 54401","Worker standing inside a forklift bucket to change a ceiling light was killed when the forklift rolled, causing him to fall to the floor."
FY 2012,6/2/2012,6/1/2012,"Mississippi Phosphates Corp., Pascagoula, MS 39581",Worker died from burns after a pipe from the steam system he was checking exploded.
FY 2012,6/2/2012,6/1/2012,"URS Washington Division, Olmsted, IL 62970",Worker at a lock and dam construction site was crushed after falling between two barges he was tying together.
FY 2012,6/9/2012,4/2/2012,"MDL Property Management Inc., Boynton Beach, FL 33437",Worker operating a riding lawn mower died from burns after the mower exploded.
FY 2012,6/9/2012,5/24/2012,"Applied Aquatic Management Inc., Clewiston, FL 33440",Worker for a wetland management company died after his airboat collided with another.
FY 2012,6/9/2012,6/1/2012,"Beasley Timber Co. Inc., Birmington, AL 35207",Worker unloading bundles of wood was killed when one of the bundles fell on him.
FY 2012,6/9/2012,6/1/2012,"Eastern Colorado Tire, Burlington, CO 80807",Worker inflating an irrigation tire was killed when the tire exploded.
FY 2012,6/9/2012,6/1/2012,"Temp Handbody Farm Labor Services, Huron, CA 93234",Farm worker pruning fruit trees died from possible heat stress.
FY 2012,6/9/2012,6/1/2012,"Waukesha Electric Systems Inc., Goldsboro, NC 27530",Worker died from electrical burns received while testing a transformer.
FY 2012,6/9/2012,6/2/2012,"L-Con Inc., Houston, TX 77015",Worker welding a pipeline that once contained crude oil died when an explosion occurred.
FY 2012,6/9/2012,6/4/2012,"Arcelor Mittal Columbus LLC, Columbus, OH 43207",Worker for a steel products manufacturer died after complaining of pain.
FY 2012,6/9/2012,6/4/2012,"Oil States Industries, Houma, LA 70363",Worker inside a fabrication shop was killed when a wall collapsed on him
FY 2012,6/9/2012,6/4/2012,"Ward Manufacturing Inc., Blossburg, PA 16912","Worker sustained a head injury while working on a SPH 40 core machine, which is used as part of a foundry process to prepare raw materials for forming the end-product."
FY 2012,6/9/2012,6/4/2012,"Williams Brothers Construction Company Inc., San Antonio, TX 78232",Worker installing metal decking on a highway under construction died after falling 50 feet.
FY 2012,6/9/2012,6/5/2012,"Abhe & Svoboda, San Pedro, CA 90731",Worker sand blasting diesel fuel tanks died from a possible heart attack.
FY 2012,6/9/2012,6/5/2012,"H & H Iron and Metal Inc., Corpus Christi, TX 78405",Worker at a scrap metal facility was crushed between a vehicle and an industrial machine.
FY 2012,6/9/2012,6/5/2012,"Kurt Clark dba Clark's Concrete, Newcastle, CA 95658",Worker was killed when a wall under demolition collapsed on him.
FY 2012,6/9/2012,6/5/2012,"Renewed Earth, Otsego, MI 49078",Worker operating a screening machine was killed when he was pulled into the machine.
FY 2012,6/9/2012,6/5/2012,"Simon Contractors, Caputa, SD 57725","Worker operating an asphalt roller died after the machine tipped over, crushing him underneath."
FY 2012,6/9/2012,6/6/2012,"Jay Springer Contracting, Ligonier, PA 15658",Worker died after falling off of roof he was repairing.
FY 2012,6/9/2012,6/6/2012,"Live Nation, Universal City, CA 91608",Worker fell 60 feet from scaffolding while working inside an amphitheater.
FY 2012,6/9/2012,6/6/2012,"McAlester Army Ammunition Plant, Fort Leonard Wood, MO 65473",Railroad maintenance worker died after being struck by a rolling rail car.
FY 2012,6/9/2012,6/6/2012,"Nu Pak Solutions Inc., Norton Shores, MI 49441",Worker at a styrofoam packaging plant was crushed by a press machine.
FY 2012,6/9/2012,6/6/2012,"Tele-Solutions Inc., Salem, OH 44460",Worker suffered a fatal fall while installing telecommunications equipment.
FY 2012,6/23/2012,5/17/2012,"New York City Parks & Recreation, Far Rockaway, NY 11691",Worker for a city parks and recreation department died from overexposure to sealant and dye fumes.
FY 2012,6/23/2012,6/5/2012,"Bamford Timber, Oroville, CA 95966",Worker using an excavator to perform logging operations was killed when the chain on the equipment broke and struck worker in the head.
FY 2012,6/23/2012,6/5/2012,"Veit & Company Inc., Rogers, MN 55374",Worker operating a drill rig died from head trauma when he fell from the machine's broken seat.
FY 2012,6/23/2012,6/13/2012,"NOSWerks, Los Angeles, CA 90007",Worker was killed when bottles of nitrous oxide exploded.
FY 2012,6/23/2012,6/13/2012,"Parmass Holdings Inc. dba Envision Plastics, Reidsville, NC 27323",Worker performing equipment maintenance was electrucuted.
FY 2012,6/23/2012,6/14/2012,"Camino Agave Inc., Yorktown, TX 78164",Worker hydrotesting two pipelines was struck and killed by the pressure testing equipment.
FY 2012,6/23/2012,6/15/2012,"Millicoma Logging LLC, Ten Mile, OR 97420",Worker was fatally injured when a log being lifted by equipment broke and fell on his chest.
FY 2012,6/23/2012,6/15/2012,"Seattle Mechanical, Auburn, WA 98001",Worker servicing a HVAC unit on a building roof died after falling through an unguarded skylight.
FY 2012,6/23/2012,6/15/2012,"The Davey Tree Surgery Company, Fort Bend, TX 77494",Worker performing tree services died after falling from a boom truck bucket.
FY 2012,6/23/2012,6/17/2012,"Brown County Guided Trail Guide, Nashville, IN 47448",Worker leading a guided horseback trail ride was struck and killed by a falling tree.
FY 2012,6/23/2012,6/18/2012,"Kaiser Electric, Inc., St. Louis, MO 63110",Worker climbing a ladder to access a roof died after falling more than 20 feet.
FY 2012,6/23/2012,6/18/2012,"Mill Steel Company, Grand Rapids, MI 49508","Worker moving steel coils was crushed when one of the 8,000-pound coils fell on him."
FY 2012,6/23/2012,6/18/2012,"Universal Roofing & Sheetmetal, Inc., Norman, OK 73014",Worker died from a 50-foot fall while repairing a roof.
FY 2012,6/23/2012,6/18/2012,"Waste Management, San Leandro, CA 94577",Worker in a waste management plant was struck and killed by a bulldozer.
FY 2012,6/23/2012,6/18/2012,"Zandstra Construction, Faith, SD 57626",Worker operating an asphalt roller was pinned underneath the machine when it rolled over into a ditch.
FY 2012,6/23/2012,6/19/2012,"A & S Trucking, Washington, DC 20018",Worker picking up mail from an office trailer was struck and killed by a dump truck.
FY 2012,6/23/2012,6/19/2012,"Cleveland Wrecking Company, Bakersfield, CA 93308",Worker died from a 50-foot fall when the beam he was cutting collapsed and knocked over the man-basket he was inside.
FY 2012,6/23/2012,6/19/2012,"Powers Distributing Company, Orion, MI 48359",Worker at a brewery warehouse died from injuries when he fell from a trailer onto the cement ground.
FY 2012,6/23/2012,6/19/2012,"Sky Brand Services, Arvin, CA 93203",Worker dismantling pipes on an oil tanker was killed when the tank exploded.
FY 2012,6/23/2012,6/21/2012,"Jimmy A. Odom General Building Contractors, Antioch, CA 94509",Worker installing sheeting on the exterior of a house died after falling eight feet from ladder.
FY 2012,6/23/2012,6/22/2012,"Consumers Energy, Jonesville, MI 49028",Worker assessing the damage to downed power lines was struck and killed by a vehicle.
FY 2012,6/23/2012,6/22/2012,"Dustin Ellis dba Dustin Ellis Logging, Stanley, NC 28164",Worker cutting down trees was killed when a tree struck him.
FY 2012,6/30/2012,6/9/2012,"Recycling Services of Indiantown LLC, Indiantown, FL 34956","Worker using a torch to cut a propane tank died from burns suffered when the propane ignited, causing a fire."
FY 2012,6/30/2012,6/12/2012,"Dynamic Concrete Solutions LLC, Tampa, FL 33610",Worker performing roof repairs died after falling 60 feet.
FY 2012,6/30/2012,6/13/2012,"Electrical Contractor Inc., Augusta, GA 30906",Worker making electrical repairs was electrocuted after touching a nearly 300-volt line.
FY 2012,6/30/2012,6/13/2012,"Erie County Medical Center, Buffalo, NY 14215",Hospital worker was shot and killed.
FY 2012,6/30/2012,6/13/2012,"Scruggs Equipment Company, Memphis, TN 38113","Worker was killed when a garbage truck he was working on activated, pinning his head."
FY 2012,6/30/2012,6/14/2012,"Ball Fabrics Inc., Deland, FL 32720",Worker making roof repairs fell 35 feet through a skylight.
FY 2012,6/30/2012,6/14/2012,"Dragon Man's Shooting Range, Colorado Springs, CO 80929",Worker on the set of a TV show was killed by a smoke bomb.
FY 2012,6/30/2012,6/14/2012,"Joy Construction, Ridgewood, NJ 074506",Worker was struck on the head and killed by flying debris.
FY 2012,6/30/2012,6/14/2012,"M. G. Dyess Inc., DeKalb, MI 39328",Worker was crushed by pipes after the strap holding a load of pipes together broke.
FY 2012,6/30/2012,6/14/2012,"Sugar Farms Co-op, South Bay, FL 3349",Farm worker died after he drove his tractor with a spray rig into a canal.
FY 2012,6/30/2012,6/17/2012,"Food Business Inc., dba Germantown Caf‚ East, Nashville, TN 37206",Restaurant worker died from suffocation after becoming trapped in a walk-in cooler.
FY 2012,6/30/2012,6/19/2012,"Grass Choppers, Purcellville, VA 22132",Worker operating a lawnmower died when the mower rolled down an enbankment and landed on top of him in a creek.
FY 2012,6/30/2012,6/21/2012,"BPS Inc., Minneapolis, MN 55413",Worker at a metal manufacturing facility was killed after being crushed by a pile of steel.
FY 2012,6/30/2012,6/21/2012,"National Park Service Paradise Station, Longmire, WA 98397","National parks service worker attempting to rescue climbers was killed after falling 3,000 feet down a mountain."
FY 2012,6/30/2012,6/22/2012,"Village of Central City - Public Works Department, Central City, IL 62801",Worker was killed when a burning tree limb fell on his head.
FY 2012,6/30/2012,6/25/2012,"Bob Evans Restaurant, Streetsboro, OH 44241",Restaurant worker died from surgical complications after falling and fracturing her right hip.
FY 2012,6/30/2012,6/25/2012,"BP Petroleum, Durango, CO 81303",Worker at a gas compression station was killed during an explosion.
FY 2012,6/30/2012,6/25/2012,"Illinois Department of Transportation - District 3 Ladd Yard, Springfield, IL 61362","Highway maintenance worker performing mowing operations died after being thrown from the tractor, which landed on top of him."
FY 2012,6/30/2012,6/26/2012,"Ati Allvac, Richburg, SC 29729",Worker at a metals facility died from asphyxiation after exposure to nitrogen.
FY 2012,6/30/2012,6/26/2012,"Bombardier Recreational Products, Benton, IL 62812",Worker test driving a recreational boat was killed when his boat collided with another.
FY 2012,6/30/2012,6/26/2012,"General Motors Corp., Cleveland, OH 4413",Worker at a metal processing plant was killed after being caught between machinery.
