Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
6/4/2013,"Tommy Burton, Staten Island, NY 10307",Employee found dead under tongue of trailer.,Fatality
6/4/2013,"Vaughan Foods, Moore, OK 73160",Employee died from head trauma after falling on exterior stairs.,Fatality
6/3/2013,"B&M Tear Off, Antioch, CA  94509",Worker died from 24-foot fall from roof while making repairs.,Fatality
6/3/2013,"Tom's Plumbing & Heating, LLC, Spirit Lake, IA  51360",Worker struck and killed by a skid loader bucket when the loader tipped forward.,Fatality
6/3/2013,"Wilbanks Trucking, Inc., Carlsbad, NM 88220",Worker died after falling 25 feet from a rig structure while trying to hook a chain to a ball hook.,Fatality
6/3/2013,"Wilkins Lumber Company Inc., Milford, NH 03055",Employee died after being crushed by the arms of an unblocked front-end loader.,Fatality
6/2/2013,"MDV - Nash Finch Company, Norfolk, VA  23502
",Worker killed when crushed between the bottom section of a tractor trailer and the dock. ,Fatality
6/1/2013,"K. Wilson and Company Inc.,  South San Francisco, CA  94080",Worker killed after falling from a forklift being used to paint a wall. ,Fatality
6/1/2013,"Kraemer-Shows Oilfield Services LLC, Cotulla, TX 78014",Employee died from electrical shock while engaged in repairs to electrical system.,Fatality
6/1/2013,"Pepsi Beverages, Chicago, IL 60609",Employee died after falling from a ladder while completing a service installation.,Fatality
5/31/2013,"Fisher Ranch Corporation, Blythe, CA 92225",Worker found dead in crop field after checking on irrigation pipes.,Fatality
5/31/2013,"Future Air Inc., St. Louis,  MO 63123",Worker died after falling from a scaffold while installing tubes for a new HVAC system. ,Fatality
5/31/2013,"Lalo's Auto Service Center Inc., Bronx, NY 10452","Employee died after the car lift gave way, causing car to fall onto him during repair operations.",Fatality
5/31/2013,"Washington State Patrol, Conway, WA 98238",Patrol officer struck and killed by truck.,Fatality
5/30/2013,"Edwin Brady Construction Company Inc., PAX  WV 25904",Employee killed after being struck by a clogged and pressurized hose during concrete preparation.,Fatality
5/30/2013,"FreshKO Produce Services, Fresno, CA  93725",Worker electrocuted after coming into contact with a live power conductor inside a charging unit.,Fatality
5/30/2013,"Ocean Twp. Public Works, Oakhurst, NJ  07755",Worker loading a garbage truck was struck and killed by another vehicle.,Fatality
5/30/2013,"Rialto Concrete Products Inc., Rialto, CA 92377",Worker was crushed by forklift.,Fatality
5/29/2013,"Agriculture Bag Manufacturing USA Inc., Oakland, CA  94603",Worker died after being caught between two spinners. ,Fatality
5/29/2013,"Dunn Roadbuilders, Laurel, MS 39440","Worker killed when a weigh pod from a silo fell on him, knocking him against a steel beam.",Fatality
5/29/2013,"Elliott Construction LLC, College Station, TX 77845","Employee died after being pinned underneath 1,500-pound shoring panels during an excavation.",Fatality
5/29/2013,"Holiday Rock, Chino Hills, CA 91708",Employee killed when work vehicle's tire blew causing worker to hit guard rail. ,Fatality
5/29/2013,"K & D Transportation Inc., Adell, WI 53001",Driver died after being pinned between a conveyor belt and the bottom of a semi-truck. ,Fatality
5/29/2013,"Nationwide Children's Hospital, Columbus, OH 43205",Employee died after being hit by the hospital shuttle bus while walking on hospital's private road.,Fatality
5/29/2013,"Olinde's Hardware Supply Company Inc., Lafayette, LA 70506",Warehouse worker died after falling while operating a forklift picker.,Fatality
5/29/2013,"Tri-State Floor Covering Supplies Inc., Cincinnati, OH 45241",Employee died after being pinned under the front tire of a powered industrial vehicle. ,Fatality
5/29/2013,"US Army Reserve, 88th Regional Support Command, Fort McCoy, WI 54656","Worker died from head injuries after vehicle he was repairing dropped, pinning him between cab and front bumper.",Fatality
5/28/2013,"A&A Express LLC, Jackson, TN 38366",Worker killed after being pinned between rear of truck and landing gear of trailer.,Fatality
5/28/2013,"Byrd Telcom, Inc., Georgetown, MS 39078",Two employees died after the gin-pole derrick they were using broke and fell away from a cell phone tower.,Fatality
5/28/2013,"C. R. England, Inc., Providence, RI 02908",Worker killed after being crushed between a truck and loading dock during backing operations.,Fatality
5/28/2013,"Coastal Plating, Corpus Christi, TX 78408",Worker died after being crushed by a large cylinder during sand blasting operations.,Fatality
5/28/2013,"Home Decorators Collection Warehouse, Mexico, MO 65265",Warehouse worker died after being crushed by a dockplate during repair and cleaning operations. ,Fatality
5/28/2013,"NYS MTA Metro-North West Haven CT Station, West Haven, CT  06516",Worker struck and killed by a train.,Fatality
5/27/2013,"AKM Machinery, Wind Gap, PA 18091",Worker died after being struck in head by piston that became unhooked from chain.,Fatality
5/27/2013,"Bonnie Plants Inc.,  Homeworth, OH 44634",Two workers died after company truck collided with semi-truck during transit.,Fatality
5/27/2013,"Cory Miller, Salado, TX 76571",Worker died after being struck by a rig and elevator after an anchor failed during water well drilling operations.,Fatality
5/27/2013,"Paramount Builders Inc., Atu'u, American Samoa 96799",Employee died after falling from rafters duing painting operations.,Fatality
5/25/2013,"Bardstown Police Department, Bloomfield, KY 40008",Police officer shot and killed by unknown assailants when he got out of car to remove road debris.,Fatality
5/25/2013,"Drilling Solutions, Lignite, ND 58752",A temporary employee died after being run over and crushed by a loader. ,Fatality
5/25/2013,"Securitas Security Services, Inc., San Bernadino, CA 92411",Worker crushed by a sliding gate that came off track.  ,Fatality
5/24/2013,"Alfons Dziezuta, Chicago, IL 60630",Employee died after falling from scaffolding that collapsed while performing tuckpointing at a residential building.,Fatality
5/24/2013,"L & H Boat Docking Service, Garfield, AR 72732",Employee working on barge died from burns and blunt force trauma after barge exploded during welding operations.  ,Fatality
5/24/2013,"Lowe's Home Centers Inc, #1130, New Castle, PA 16101",Employee died after being crushed between a box truck and trailer.,Fatality
5/24/2013,"Plasto-Tech Corporation, Elyria, OH 44035",Worker fatally crushed inside a thermo-forming press machine.,Fatality
5/24/2013,"Progress Rail Services, San Bernadino, CA 92411",Worker struck and killed by train while installing a train derail device.,Fatality
5/23/2013,"ArcelorMittal, Coatesville, PA 19320",Three employees hospitalized after being burned by hot slag from a furnace. ,Catastrophe
5/23/2013,"Battle Energy Services, Maljamar, NM  88264",Worker electrocuted when pole truck hit an overhead power line.,Fatality
5/23/2013,"Mountain Peak Vinyl, Salt Lake City, UT  84104","Worker crushed and killed when 2,000-pound container fell on him.",Fatality
5/23/2013,"S. L. Construction L.L.C., Harrisonville, MO 64701",Worker fatally crushed when two 2x8 vertical beams fell on him.,Fatality
5/23/2013,"Shoreline Foundation, Inc., Riviera Beach, FL 33404",Worker died from oxygen deficient atmosphere in a confined space. ,Fatality
5/23/2013,"Smith, Rolfes & Skvdahl Company LPA, Lancaster, OH 43130",Employee died after falling through roof while inspecting for wind damage.,Fatality
5/23/2013,"Whiting-Turner Contracting Company Inc., Bethesda, MD  20817","Worker crushed by scaffolding during relocation of a 44,000-pound section of concrete.",Fatality
5/22/2013,"Blick's Phosphate Conversions LLC, Pocatello, ID 83204",Worker died from burn injuries after the release of ammonia.,Fatality
5/22/2013,"Dependable Vending, Pomona, CA 91766",Worker killed when industrial truck collided with another vehicle. ,Fatality
5/22/2013,"Electronic Waveform Lab, Inc., Livermore, CA 94550                                    ",Worker killed when section of pipe flew up from the road striking vehicle windshield.,Fatality
5/22/2013,"Mills Ranch/Jam Trucking LLC, Livermore, CA 94551",Worker fatally crushed by large panel of concrete that fell from forklift.,Fatality
5/22/2013,"Penn Line Corporation, Bear Creek, PA 18602",Employee died after being hit by a vehicle while he was setting up a roadway workzone. ,Fatality
5/22/2013,"Star Construction LLC, Birmingham, AL 35222",Employee electrocuted when the pole on digger derrick truck contacted an electrical line.,Fatality
5/22/2013,"Tri-Modal Distribution Services, Pomona, CA  91766","Worker, standing outside of vehicle, was struck and killed when his vehicle was rear-ended causing it to hit him.",Fatality
5/21/2013,"Bapaz Ash Llc, Brooklyn, NY 11218",Employee died after falling from the third floor level while sheathing exterior of home.,Fatality
5/21/2013,"H & H Fisher?s Logging LLC,                            Hightown, VA 24444",Worker killed after being struck by tree.,Fatality
5/21/2013,"James Daryl Seibel, Bath, PA 18014",Employee died after falling 22 feet from roof while installing timbers for a barn under construction.,Fatality
5/21/2013,"Keystone Oil Products Corporation, Dillsburg,  PA 17019",Employee died after being run over by a vehicle while delivering home heating oil. ,Fatality
5/21/2013,"NPL Construction Company, Lakeway, TX 78738",Employee fatally crushed when equipment slid down incline and rolled over him.,Fatality
5/21/2013,"White Cedar, Superior, WI 54880",Employee fatally injured after being caught between a power roller and conveyor belt.,Fatality
5/20/2013,"Buena Vista Services, LLC, Sequin, WA  98382",Worker died when his vehicle was unable to stop or avoid the vehicle in front that made a sudden turn.,Fatality
5/20/2013,"Dale Gilbertson, Grapevine, TX 76051",Employee died after falling 20 feet while engaged in framing activities at new residential home.  ,Fatality
5/20/2013,"Jim Schlesser Inc., Cougar, WA",Worker struck and killed by falling tree.,Fatality
5/20/2013,"Spartan Contracting LLC,  Owensboro, KY 42301",Worker electrocuted while painting a bridge.,Fatality
5/17/2013,"Dennis Keith Greene (dba D & G Wood), Zionville, NC 28698",Worker in logging crew struck and killed by a falling limb.  ,Fatality
5/17/2013,"Greenville Recycling II LLC, Greenville, KY  42345",Worker struck and killed by lid when a 55-gallon drum exploded.,Fatality
5/17/2013,"H&G Underground Utilities, LLC, Merrillville, IN 46410",Worker electrocuted while installing a new water main.,Fatality
5/17/2013,"King Pallet Inc.,  Balltimore, MD 21221",Worker crushed and killed by forklift truck and box truck.,Fatality
5/17/2013,"Recommunity Recycling, Camden, NJ 08104",Worker crushed and killed when a wall collapsed on him.,Fatality
5/17/2013,"River City Petroleum Inc. dba Nevada Truck and Trailer Repair, Las Vegas, NV 89115                  ",Worker died when an empty tanker truck he was welding exploded.,Fatality
5/17/2013,"Trapac Inc.,  Oakland, CA 94607",Worker presumed dead after his vehicle was struck by utility tractor and pushed in the bay. Worker's body has not been found.,Fatality
5/17/2013,"Vonderhaar's Meat Market, Fort Recovery, OH 45846",Employee died from asphyxiation when his apron became entangled in a rotating wire brush while cleaning meat grinding machine.,Fatality
5/17/2013,"Wemrock Orchards, Manalapan, NJ 07726",Worker died after tractor rolled over him while trying to pull a tree from the ground.,Fatality
5/16/2013,"ATMI Precast Inc., Aurora, IL 60506",Worker died after being struck by a 500-pound piece of angle iron.,Fatality
5/16/2013,"Chicago Steel Construction LLC, Evanston, IL 60208",Employee was struck and killed by construction materials that fell from six stories above.  ,Fatality
5/16/2013,"Magnetech Industrial Services Inc., Saraland, AL 36571",Employee electrocuted while performing repairs on power system equipment.,Fatality
5/16/2013,"Mega Construction Co. Inc., Daphne, AL 36526",Employee died from head injuries after falling from a structure while installing trusses.,Fatality
5/16/2013,"Wilderness Inc. dba Ely Campgrounds Concessional, Ely, MN  55731",Worker struck and killed by tree during maintenance services.,Fatality
5/15/2013,"Independent Roofers and General Contractor Corp., Hato Rey, PR 00918",Worker died from 20-foot fall from roof while performing waterproofing services. ,Fatality
5/15/2013,"R. C. Construction Co. Inc., Columbus,  MS 39705",Employee died after being crushed between auger and frame of a concrete paver.,Fatality
5/15/2013,"St. Louis Cold Drawn, St. Louis, MO 63137",Machine operator died from electrocution after contacting live electricity in an electrical cabinet. ,Fatality
5/14/2013,"Fairview Mills Inc., Hiawatha, KS 66434",Employee died after falling into food processing equipment while attempting to clear a jam.  ,Fatality
5/14/2013,"Garay Construction Inc., Commerce City,, CO 80022",Construction worker died after falling nearly 30 feet to concrete floor.,Fatality
5/14/2013,"MAC Truck Leasing Inc., Dallas, TX 75217",Worker died after being injured while lifting a truck break drum.,Fatality
5/14/2013,"Riverbell Inc, Vero Beach, FL 32960",Worker died after falling from a 10-foot ladder while picking oranges.,Fatality
5/13/2013,"Coastal Masonry Inc., Miami, FL 33131","Worker died after falling from 7th floor while straightening rebar inside concrete wall opening.
",Fatality
5/13/2013,"Integrity Rebar Placers,  Murrieta, CA 92562","Worker killed when forklift tipped over, crushing him.",Fatality
5/13/2013,"The Davey Tree Expert Company, Winston Salem, NC 27103                                     ","Worker killed when bucket lift malfunctioned during tree trimming, causing worker to fall 35 feet.",Fatality
5/12/2013,"Mike's Landscaping and Tree Service,  Fort Madison, IA 52627",Worker struck and killed by falling tree limb while performing tree trimming operations. ,Fatality
5/12/2013,"Robert Crowder Construction, Webster, Springs, WV 26288",Employee struck and killed by tree limb during tree cutting operations.,Fatality
5/10/2013,"Astec Inc., Chattanooga, TN  37407",Worker struck and killed when a silo head fell from crane.,Fatality
5/10/2013,"Total Metal Services LLC, Romulus, MI 48174",Worker died after a dumpster fell and crushed him.,Fatality
5/9/2013,"Eagle Adjusting Services Inc.,  Ferndale, MI 48220",Worker suffered fatal injuries after falling 18 feet from roof.,Fatality
5/9/2013,"FIC America, Bloomingdale, IL 60108",Worker died after being pinned under a steel coil.,Fatality
5/9/2013,"Lischka Construction, Richmond, TX 77406",Employee died after being caught between two tractor graters.  ,Fatality
5/9/2013,"M.J. Sheridan of Texas Inc, Austin, TX 78730",Worker died after being crushed under a ditch digger when it rolled down a steep hill.  ,Fatality
5/9/2013,"Pfizer Inc., Yucca Valley, CA  92284                                       ",Worker killed after being shot during carjacking.,Fatality
5/9/2013,"Southland Tube Inc., Birmingham, AL 35234","Worker performing warehouse operations died after being pinned between a load and bundles weighing more than 4,000 pounds.",Fatality
5/8/2013,"Hasson's Mobile Truck & Trailer Repair, East Moline, IL 61244",Worker died after semi-trailer collapsed on him during repairs.,Fatality
5/8/2013,"J & L Auto Body Parts, Elizabeth, NJ 07202",Worker killed when vehicle elevated by forklift and chain fell on him while performing repairs.,Fatality
5/8/2013,"Midwest Wrecking Company, Morrison, OK 73061",Truck driver died after vehicle was struck by train at railroad crossing.  ,Fatality
5/8/2013,"Shoreline Metal Fabricators Inc.,  Rothbury, MI  49452",Worker died after falling 30 feet through skylight during HVAC removal operations.,Fatality
5/8/2013,"Wayne Westland Fire Dept., Westland, MI  48185",Worker died when roof collapsed while fighting a fire at a mall.,Fatality
5/7/2013,"All Season?s Insulation, Danville, IN 46122",Worker spraying a building with insulation fell approximately 10 feet.,Fatality
5/7/2013,"Harvey Paving & Sealcoating, Orono, ME 04469",Foreman struck and killed by vehicle while constructing a driveway.,Fatality
5/7/2013,"Kerry's Ingredients and Flavors Union City, CA 94587",Worker died from head injuries when a cart he was pushing was struck by a forklift.,Fatality
5/7/2013,"Lindstrom Brothers Air Conditioning Inc., Coconut Creek, FL 33093",Worker died after falling from ladder while installing air conditioning ducts at construction site.,Fatality
5/7/2013,"M Boren Services, Inc., Myton, UT 84052",Worker crushed and killed when a 40-barrel tank exploded at a well site.,Fatality
5/7/2013,"Southern Mechanical Contractors, Chamblee,  GA 30341","Employee died after the scissor lift he was inside malfunctioned, pinning worker between the lift and a pipe. ",Fatality
5/6/2013,"Jet Maintenance, Runge, TX 78151",Worker died when a flare line pipe struck his head and neck while he attached piping to a well head.,Fatality
5/6/2013,"Longview Asphalt Inc., Jacksonville, TX 75766",Employee killed when struck by pneumatic gates while unplugging the discharge chute to an asphalt silo.,Fatality
5/6/2013,"SD Restoration Inc., Miami, FL 33122",Employee died after falling from 20-foot ladder while applying caulking inside a warehouse.,Fatality
5/6/2013,"T.H. Ryan Cartage Company, Kenosha, WI 53144",Driver suffered fatal injuries after truck rolled backward onto him while at a loading dock.,Fatality
5/5/2013,"Business Construction Services LLC, Fayetteville, AR 72701",Employee died in a trench collapse. ,Fatality
5/5/2013,"Schneider National Carriers Inc., Janesville, WI 53546",Tractor-trailer driver died after falling from his truck cab at a home improvement store. ,Fatality
5/4/2013,"Beaver Excavating Company, Canton, OH 44706",Two carpentry employees died when the crane boom they were using to lift a load fell on them.,Fatality
5/3/2013,"Alpine Waste & Recycling, Denver, CO 80216",Worker fatally crushed when the hydraulic compacting mechanism on rear section of trash truck activated.,Fatality
5/3/2013,"DRP Industries, Grnbury, TX 76048",Employee died of head trauma after being caught in machine tool.,Fatality
5/3/2013,"Ed and Eddys Inc., Panama City Beach, FL 32407",Employee died after being caught in and crushed by an automated bowling pin setting machine. ,Fatality
5/3/2013,"Gilt Groupe Inc., Brooklyn, NY 11205",Employee died after falling four stories to the bottom of an elevator shaft.,Fatality
5/3/2013,"Madison Logging Inc.,Caryville, TN 37714

",Worker struck and killed by a falling tree.,Fatality
5/3/2013,"Murphy Oil Corporation, Fremont, OH 43420",Employee killed when oncoming vehicle crashed into work vehicle.,Fatality
5/3/2013,"Platt Logging, Constantia, NY 13044",Employee struck and killed by tree while performing logging operations.,Fatality
5/3/2013,"Severiano Lopez, Los Angeles, CA  90068",Worker found dead during tree trimming operations.,Fatality
5/3/2013,"Weatherford Pumping Unit, Marmarth, ND 58643",Worker died from chest injuries after a belt drive from an oil well pumper unit fell on him.,Fatality
5/2/2013,"Alta Fuels, Chama, NM  87520",Worker died when tanker truck rolled over.,Fatality
5/2/2013,"Culver Metal Supply LP, Mansfield, TX 76063","Employee killed after 17,000-pound metal coils being moved by a crane fell on him.",Fatality
5/2/2013,"Formosa Plastics Corporation, Point Comfort, TX 77978",At least three employees were hospitalized for burns when a flash fire occurred at a plastic resins and petrochemical plant. ,Catastrophe
5/2/2013,"Griesbach Farm, Appleton, WI 54913",Farm worker died after being caught in auger.,Fatality
5/2/2013,"Mortenson Brothers Farms Inc., Plainfield, WI 54966",Worker died after being struck and pinned beneath the landing gear of a semi-truck backing up to loading dock.,Fatality
5/2/2013,"PMIC Inc., Point Comfort, TX 77978",At least three employees were hospitalized for burns when a flash fire occurred at a plastic resins and petrochemical plant. ,Catastrophe
5/1/2013,"Flora-Tech Plantscapes Inc., Coral Gables, FL 33134",Employee died after falling nearly 20 feet while installing plants on the inside of a newly constructed nursing facility.,Fatality
5/1/2013,"Scott Schultz Roofing and Painting, Madison, WI 53704",Worker died after falling from a residential roof.,Fatality
4/30/2013,"Albuquerque-Bernalillo County, Albuquerque, NM 87110                   ",Worker struck and killed by vehicle while securing gate at facility lift station.,Fatality
4/30/2013,"American Eagle Buildings Inc., Greneseo, IL 61254",Employee died after falling 25 feet from a beam that broke during roofing operations.   ,Fatality
4/30/2013,"ATS Welding, Inc., West Haven, UT  84401",Worker died after falling 30-feet when wind gusts caused roofing material to become airborne and hit worker.,Fatality
4/30/2013,"Fremont Forest Systems Inc., Silver Lake, OR 97638",Worker killed when a tree being cut down fell on him.,Fatality
4/30/2013,"Home Depot, Mission, TX 78572","Employee died from head injuries after a set of heavy duty screen doors he was stocking fell on him, knocking him to floor.",Fatality
4/30/2013,"Lake County, Finland, MN  55603",Worker killed when excavator slipped on icy road and fell into river.,Fatality
4/29/2013,"Brookover Ranch Feed Yard, Garden City, KS 67846","Employee crushed and killed when a metal fence he was cutting fell on him, pinning him underneath. ",Fatality
4/29/2013,"Pastore Cabinet Makers Inc., Madison, VA 22727","Worker died when a hydraulic lift fell, crushing him underneath.",Fatality
4/29/2013,"S&S Properties, Alvin, TX 77511",Employee died after being struck by a tree during tree cutting operations.,Fatality
4/29/2013,"Sherman Brothers Trucking Inc., West Crossett, AR 71635",Employee found dead at bottom of crude oil tank from apparent over-exposure while performing cleaning operations.,Fatality
4/29/2013,"Sundquist Fruit and Cold Storage Inc., Yakima, WA 98901",Worker died from injuries after falling off and being run over by a tractor.,Fatality
4/27/2013,"Dudley Hilton, Philadelphia, PA 19147",Employee electrocuted after contacting energized electrical lines and adjacent copper piping.,Fatality
4/27/2013,"Floyd Peterson, Cooksville, MD  21723",Worker died from a 17-foot fall from a roof.,Fatality
4/27/2013,"Harrison Gypsum Co., Shamrock, TX 79079","Employee died after being pulled into conveyor while removing a rock that was stuck in machine.
",Fatality
4/27/2013,"Jesus Valladares, Kendalll, FL 33183",Worker died after falling off tractor and striking head on rake of the tractor.,Fatality
4/27/2013,"Potlatch Corporation, Bemidji, MN 56601","Employee died when hand railing on catwalk gave way, causing worker to fall 40 feet. ",Fatality
4/26/2013,"Britz Wrecking, Kansas City, MO 64109",Employee killed when debris from a wall being demolished struck his head.,Fatality
4/26/2013,"DCS Sanitation Management Inc., Clackamas, OR  97015",Worker died after spray hose he used to clean meat blender got caught on rotating blade and pulled him into machine.,Fatality
4/26/2013,"Downey Trees Inc., Alpharetta, GA 30005",Employee died after being struck by tree during tree removal operations. ,Fatality
4/25/2013,"Complete Automation Inc., Smyrna, TN 37168",Worker died when large control panel he was moving tipped over on him.,Fatality
4/25/2013,"Rick's Tree Service LLC, Wilmington, DE 19803",Worker died after being struck by cable used to pull tree limbs into shredder.,Fatality
4/25/2013,"Siemens Industry, Inc., Mountain View, HI  96771",Worker electrocuted after contacting live parts inside cabinet of well pump motor.,Fatality
4/25/2013,"So Cal Edison, Menifree, CA 92586",Worker electrocuted while working in underground vault.,Fatality
4/25/2013,"William Joseph La Grasso dba Superior Painters, Big Bear City, CA 92315","Worker killed when ladder used during painting operations fell, landing on worker. ",Fatality
4/24/2013,"Giovanni Lawn & Garden, Oakton, VA 22124",Worker died from head injuries after being struck by tree he was cutting down.,Fatality
4/24/2013,"Machine Tools Inc., Grosse Tete, LA 70740",Employee died from injuries after a traffic accident with a 18-wheel truck.,Fatality
4/24/2013,"NYCTA - Signal Maintenance Division, Astoria, NY 11103",Worker killed after falling from ladder at end of train platform and tumbling in front of a train.  ,Fatality
4/24/2013,"Oil Recovery Co. Inc., Mobile, AL 36602",Three employees burned while cleaning a fuel barge that exploded.,Catastrophe
4/24/2013,"Progressive Environmental Services Inc., St. Petersburg Beach, FL 33706",Employee crushed and killed by elevator car while cleaning water out of an elevator shaft. ,Fatality
4/23/2013,"Harold G. Butzer Inc., Altus, OK 73521",Employee in a bucket lift died after being pinned between bucket and I-beam.  ,Fatality
4/23/2013,"Little by Little Trucking, Las Vegas, NV 89135",Worker killed when concrete pipe rolled off truck bed and crushed him.,Fatality
4/23/2013,"Primeflight Aviation Services Inc., SeaTac, WA 98158",Worker died when an airline baggage cart with tug struck him as cart was being pulled to exit gate.,Fatality
4/23/2013,"Ramsey Water Company Inc., Ramsey, IN 47166",Worker killed after vehicle was hit by oncoming train. ,Fatality
4/23/2013,"Stephen's Carpet Cleaning, Perryton, TX 79070",Employee was found dead from suspected carbon monoxide poisoning while steam cleaning carpet with a gas-powered steamer. ,Fatality
4/22/2013,"City of Louisiana, Louisiana, MO 63353",Employee died after lawnmower he was repairing fell on him.,Fatality
4/22/2013,"DCT Chambers Trucking Ltd., Kettle Falls, WA 99141",Worker killed after being run over by another vehicle while disconnecting a semi from a trailer.,Fatality
4/22/2013,"G&H Steel, Alexandria City, AL 35010",Employee died after being caught between boom lift and iron used during welding operations.,Fatality
4/22/2013,"Patton Ranch Management LLC, Beatty, OR 97621",Worker died after ATV flipped over embankment and landed on top of him.,Fatality
4/22/2013,"Platinum Mechanical Inc., Dexter, MI 48130",Worker killed in explosion while welding tank in waste water treatment plant.,Fatality
4/22/2013,"Sunland Construction Inc., Beaumont, TX 77713",Employee died after being caught between a rotating excavator and piping while engaging in trench/piping operations.,Fatality
4/21/2013,"CNM Construction Inc., Far Rockaway, NY 11694",Employee died after falling from a scaffold.,Fatality
4/21/2013,"Maury County Building and Maintenance Department, Columbia, TN ",Worker killed after being pinned under mower that rolled down steep embankment.,Fatality
4/21/2013,"St. Johns Precast Inc., St. Augustine  FL 32084",Employee died after being struck by a forklift.,Fatality
4/21/2013,"Watson Commercial Paint, Tyler, TX 75702",Employee died after being overcome by fumes while spray painting.,Fatality
4/20/2013,"American Painters Inc., Tampa, FL 33626",Employee died after falling 15 feet from ladder while pressure washing a house. ,Fatality
4/20/2013,"Civil Design Services Inc., Abilene, TX 79608",Employee struck and killed by vehicle while surveying roadway activity.,Fatality
4/20/2013,"Woodman's Food Market Inc., Beloit, WI 53511",Worker died from head injuries after falling 9 feet from ladder at food market warehouse. ,Fatality
4/19/2013,"Blades of Green Inc., Inverness, FL 34450",Employee struck and killed by tree limb.,Fatality
4/19/2013,"Century Packing Corporation, Las Piedras, PR  00771",Worker struck in head and killed by corrugated carton sheets. ,Fatality
4/19/2013,"Intex, Sioux Falls, SD 57104",Employee for indoor/outdoor recreation distributor died after his work vehicle was struck by a semi-truck.  ,Fatality
4/19/2013,"Saint Bernadette Catholic Parish, Lakewood, CO 80214",Employee died after tripping over book bin.,Fatality
4/19/2013,"Thermal Sun Glass, Santa Rosa, CA 95402                    ",Worker died when sheets of glass fell on him.,Fatality
4/19/2013,"United Ethanol LLC, Milton, WI 53563",Employee died after being engulfed in grain bin.,Fatality
4/18/2013,"Bennett Construction Inc, Manchester, OK 73758",Employee died after being struck by side boom track equipment during construction of natural gas pipeline.,Fatality
4/18/2013,"BTT Marine Construction Co. LLC, Lynn,  MA 01901",Worker died from possible drowning after falling in water while working on pier.,Fatality
4/18/2013,"Jerich International dba Jerich USA Inc., Carson, CA 90745",Worker struck and killed by fallen bale of shredded paper in warehouse. ,Fatality
4/18/2013,"Landscape Maintenance Services, Jackson, NJ 08527","Worker died from head injuries when landscaping equipment struck him, causing him to fall.",Fatality
4/18/2013,"Metal USA, Jeffersonville, IN 47130","Worker killed when a fiber glass cover, lifted off the ground by wind gusts, struck him.",Fatality
4/18/2013,"Ohio River Metal Services, Jeffersonville, IN 47130","Employee struck and killed by a 2,200-pound barge lid that became airborne.",Fatality
4/18/2013,"Smart Landcare Inc., Charlotte, NC  28210",Landscape worker killed after being hit in head by piece of metal anchor.,Fatality
4/18/2013,"Thorne's Excavating Company LLC  and N & S Waterproofing LLC, Hendersonville, TN  37075","Two workers killed, a third hospitalized after being struck by a 24-foot tall masonry wall that collapsed during 40 mph wind gusts.
",Fatality
4/17/2013,"APAC Texas Inc., Rockwall, TX 75087",Worker killed after being struck by vehicle while flagging traffic during roadside construction.,Fatality
4/17/2013,"Five Star Lawn and Landscape, Goodlettsville, TN 37072","Worker died after lawn tractor tipped over, pinning worker between ground and equipment. ",Fatality
4/17/2013,"Signature Industrial Services, Beaumont, TX 77704",At least three employees were hospitalized for burns after flash fire occurred while they worked on a heat exchanger.,Catastrophe
4/17/2013,"Signature Industrial Services, Beaumont, TX 77704",Worker died from injuries after a refinery fire.,Fatality
4/16/2013,"Akehurst Landscaping Services, Towson, MD  21204",Worker struck and killed by motor vehicle while performing landscaping activities.,Fatality
4/16/2013,"Anderson Arbor Pros, LLC, Pendelton, SC 29670",Worker died from 70-foot fall when falling tree hit crane bucket.,Fatality
4/16/2013,"CRH PLC, West Memphis, AR 72301",Two employees died after being struck by a vehicle that entered a construction work zone.,Fatality
4/16/2013,"Estenson Logistics, Santa Fe Springs, CA 90670",Worker died after falling from trailer being loaded with lumber. ,Fatality
4/16/2013,"Jim Pastor, Holiday, FL 34690",Employee died from heat stroke while installing an electrical box in attic.,Fatality
4/16/2013,"Keystone Diner, Oxford, PA 17350",Employee killed after a wall-mounted kitchen grill fell on her head. ,Fatality
4/16/2013,"L & A Trucking Co. Inc., Moody, AL 35004","Worker died from injuries after vehicle hit work truck, causing a fiber optic line to strike and sever worker's arm.
",Fatality
4/16/2013,"Mickeys Towing and Garage LLC, Brownsville, KY 42210",Worker crushed and killed when a roll-back wrecker he was repairing rolled off blocks.,Fatality
4/15/2013,"Brandon Lamb McIntosh DBA Brandon Lamb, Richmond, KY 40475",Worker struck and killed by falling tree.,Fatality
4/15/2013,"Childers Roofing & Sheet Metal Inc., Brunswick, GA 31525",Employee died after falling through a metal roof opening.,Fatality
4/15/2013,"Coquille Watershed Association, Coquille, OR  97423",Worker drowned after being trapped under pontoon raft that struck tree and flipped over. ,Fatality
4/15/2013,"Yellow Cab, Denver, CO 80202",Worker died after another vehicle struck his taxicab.,Fatality
4/14/2013,"Topside Contracting, Sheppard AFB, TX 76311",Employee died after falling 25 feet off roof while installing insulation.,Fatality
4/13/2013,"Emerald Construction Corp., Sunny Isles Beach, FL 33160","Employee died after falling approximately 36 ft from a sheer wall.
",Fatality
4/13/2013,"Feeney Brothers Excavation LLC, Dorchester,  MA 02121",Employee died after being struck by a falling load while unloading 40' lengths of pipe from a flatbed trailer.,Fatality
