Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
9/10/2013,"Rachel Contracting Inc., St. Paul, MN",Worker was crushed by large piece of concrete that fell onto cab of the crane.  ,Fatality
9/10/2013,"Sierra Steel Buildings Inc., Northville, SD 57465",Worker installing insulation and panels on the roof of a steel building died after falling approximately 20 feet. ,Fatality
9/10/2013,"Terminix Pest Control, Wheeling, WV 26003",Worker died after being stung several times during a service call. ,Fatality
9/9/2013,"Bdaric Excavating, Swoyerville, PA 18704",Worker died after the steeple of a church that was being demolished fell on the cab of the tractor he was operating.,Fatality
9/9/2013,"GFW Welding & Co., Derby, CT 06418",Worker crushed by a snow plow blade that slid off forklift blades.,Fatality
9/9/2013,"Godwin Formwork Solutions, Norman, OK 73019",Worker died from a 67-foot fall when the scaffold he stepped onto collapsed. ,Fatality
9/9/2013,"Madden Galvanizing LLC, Houston, TX 77040",Worker was crushed by the forklift he was operating when it fell over on him. ,Fatality
9/9/2013,"Wal Mart Assoc. Inc., Clinton, UT 84015",Worker stocking merchandise died in fall from step ladder.,Fatality
9/9/2013,"Werner Construction Inc., Albion, NE 68620",Worker died after being struck by a motor bucket.,Fatality
9/8/2013,"Universal Constructors Inc., Piscataway, NJ 08854",Worker died after being run over and crushed by bulldozer.,Fatality
9/8/2013,"Watts Brothers Cable Construction, Calhoun, KY 42327",Worker was struck and killed by tree that was being removed from a telephone line. ,Fatality
9/7/2013,"Jenny's Kauli, Bethlehem, PA 18015",Three workers were hospitalized after the butane canisters over-heated and exploded. ,Catastrophe
9/7/2013,"Premier Bulk Stevedoring LLC, Mobile, AL 36602",Shipboard rigger died after being struck by falling cargo while it was being transferred from the pier.,Fatality
9/7/2013,"Sunwest Fruit Company Inc.,Traver, CA 93673",Worker killed in collision between all-terrain vehicle he was operating and another vehicle.,Fatality
9/6/2013,"Celco Construction Company, Desert Hot Springs, CA 92240",Worker electrocuted while changing power pack. ,Fatality
9/6/2013,"Powder Coat II, Mt Clemens, MI 48043",Worker crushed between transfer cart and automotive paint coating machine.,Fatality
9/6/2013,"Scrap Metal Recycling Inc., Vegas Baja, PR 00693",Worker operating a compact excavator was caught between bucket and machine frame.,Fatality
9/6/2013,"Stalcup Roofing & Construction LLC, Sandy Creek, OR 97055",One worker killed and three others hospitalized when roof trusses that were being installed fell over and collapsed into structure under construction.  ,Fatality
9/6/2013,"Williams Brothers Construction Co. Inc., Willis, TX 77378",Worker performing paving/concrete work died after being struck by a driveshaft.,Fatality
9/5/2013,"Coastal Leak Consulting Inc., Houston, TX 77066",Plumber was electrocuted while cutting through a pipe.,Fatality
9/5/2013,"Dan Hoe Excavating, Grand Haven, MI 49242",Worker leveling stone in preparation for paving was struck and killed by a skid steer operating in reverse.,Fatality
9/5/2013,"Saleh?s Market, Elkhart, IN  46516 ",Two workers were shot and killed during store robbery.,Fatality
9/4/2013,"Cromwell Dozer & Backhoe L.P., Bristow, OK 74010",Worker died in an explosion at an oil tank battery.,Fatality
9/4/2013,"Greentech Energy Services, Skippack, PA 19474",Electrical journeyman electrocuted while installing lighting equipment.  ,Fatality
9/4/2013,"Roy Webster Orchards Inc., Hood River, OR 97031",Worker crushed and killed when the tractor he was operating rolled down a steep ravine.  ,Fatality
9/4/2013,"Union Pacific Railroad, Mathis, TX 78368",Worker in an aerial lift repairing a railroad trestle died after falling 40-60 feet.,Fatality
9/3/2013,"Baker Grading & Landscaping Inc., Marion, NC 28752",Worker sweeping debris from roadway died when a dump truck backed over him.,Fatality
9/3/2013,"Juon Painting (Subcontractor); Calwide Painting (General Contractor), Thousand Oaks, CA 91362",Worker painting died after falling 15 feet from ladder. ,Fatality
9/3/2013,"Orange County Amish Saw Mill, Orleans, IN 47452",Worker killed by moving saw blade.,Fatality
9/3/2013,"Ponder Well Service Inc., Neil, AR 71752",Worker at a well site collapsed and died from heat.,Fatality
9/3/2013,"Westfire Coastal Inc., Woodinville, WA 98072",Worker was killed in vehicle collision.,Fatality
9/2/2013,"Blanchi Partnership, Nelson, CA 95958",Worker died in all terrain vehicle crash.,Fatality
9/2/2013,"Mid-South Agricultural Equipment Inc., Sumner, MS 38957",Worker performing tractor maintnenace was killed when the vehicle slipped into gear and rolled over him.,Fatality
9/1/2013,"L & M Painting LLC, Irondale, AL 35210",Worker died after falling 50 feet while pressure washing the inside of a water tower.,Fatality
9/1/2013,"Labor Ready, Burlington, MA 01803",Worker died after falling from a fixed ladder while replacing filters in a HVAC system located on the roof.,Fatality
8/31/2013,"L & M Painting LLC, Irondale, AL 35210",Worker died after falling 50 from a ladder inside a water tower.,Fatality
8/31/2013,"Russo Brothers Construction LLC, Johnston, RI 02919",Employee killed after being run over by a dump truck while making repairs to the braking system.,Fatality
8/31/2013,"Simmons Foods Inc., Siloam Springs, AR 72761",Four workers hospitalized after being overexposed to carbon dioxide at a poultry processing plant.,Catastrophe
8/31/2013,"Wally's Tree Service, Wapakoneta, OH 45895",Worker killed after falling from an extension ladder during tree trimming operations.,Fatality
8/31/2013,"YMCA New York, White Plains, NY 10605",Security guard was stabbed to death by a resident.,Fatality
8/30/2013,"Asplundh Tree Expert Co., Blairsville, PA 15717",Three employees were hospitalized when their utility vehicle rolled over. ,Catastrophe
8/30/2013,"Atlantic City Electric, Turnersville, NJ 08012",Worker struck and killed by a utility pole that had fallen off the back of a boom truck. ,Fatality
8/30/2013,"Santa Fe National Forest, Jemez Springs, NM 87025",Employee killed in an ATV acident while investigating a report of smoke in the Santa Fe National Forest. ,Fatality
8/30/2013,"SMC Networks Inc., Buford, GA 30519",Worker delivering a package struck and killed by another vehicle.,Fatality
8/29/2013,"Auger Services Inc., Columbus, TX 78934",Driver loading a drilling rig onto a truck died after being struck by a cable.,Fatality
