Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,10/30/10,10/22/10,"Ambhar Lounge Tropicana Las Vegas, Las Vegas, NV 89109","Worker was dusting decorative molding when he fell approximately eight feet to the floor, resulting in blunt force trauma to his head.  (This was a possible diabetic episode; the coroner is investigating.)"
FY 2011,10/30/10,10/23/10,"California Department of Mental Health, Napa, CA  94558",Worker was on her dinner break. She did not return and was found dead on the grounds at 6:10 p.m.  A patient was arrested by Napa County Sheriff's Office and is being held in corrections with the fatal incident.
FY 2011,10/30/10,10/23/10,"Greg's Marine Construction, Inc.,, Lusby, MD 20657","During a demolition operation, worker was attached into a pylon splash jacket that slipped down the pylon and pulled the worker 50 feet underwater."
FY 2011,10/30/10,10/24/10,"Ayalaz Agriculture Services FLC #12004, Kettleman City, CA 93239","Worker was crushed when tractor he was driving, pulling a bin dumper full of pomegranates, fell onto its side.  Worker was possibly trying to make a U-turn while going too fast."
FY 2011,10/30/10,10/24/10,"Labor Only Re-Cover, Inc.,, Berlin, NJ 08009",Worker was walking across roof and fell through the roof to the floor.
FY 2011,10/30/10,10/25/10,"Acha Construction, , Havertown, PA 19083","While roofing, worker fell from pitched roof of residence."
FY 2011,10/30/10,10/25/10,"Gulf-Atlantic Constructors, Inc.,, Gulf Breeze , FL 32563",Worker was placing highway safety barrels for a lane closure.  An on-coming car swerved into the closed lane and struck him.
FY 2011,10/30/10,10/26/10,"Family Ranch, Inc., Kettleman City, CA 93239","Worker was using an auger to drive posts into the ground, when his clothing became entangled in the equipment resulting in fatal injuries."
FY 2011,10/30/10,10/26/10,"Post Buckley Schuh & Jerngan Inc.,, Houston, TX 77032","While walking along track, worker was struck by unmanned rail car at airport."
FY 2011,10/30/10,10/27/10,"Don Park (USA) Limited Partnership,, Conley, GA 30288","While worker was attempting to guide a steel beam structure being moved by a crane and a forklift, the structure tilted and crushed worker."
FY 2011,10/30/10,10/27/10,"Notre Dame University, Notre Dame, IN  46556",Worker was in a scissor lift filming a football practice when the lift tipped over.  (High winds were reported.)
FY 2011,10/30/10,10/27/10,"Transportation Technology Services, , Pueblo, CO 81004",Worker was caught between a powered industrial truck and a railroad car and was crushed.
FY 2011,10/30/10,10/28/10,"A&B Restoration, Murfreesboro, TN 37129",Roofer fell head first from roof to concrete below.
FY 2011,10/30/10,10/28/10,"Central States Fumigation,, Liberal, KS 76901","While working on the exterior of a bin deck of a grain elevator, worker fell approximately 93 feet to the ground."
FY 2011,10/30/10,10/28/10,"Strickland Lumber Company,, Eufaula, AL 36027",Worker fell from lift.
FY 2011,10/30/10,10/29/10,"County of Bernalillo Sheriff's Department,  Albuquerque, NM 87109",Sheriff's Deputy was killed after the patrol motorcycle that he was riding was struck by a truck that crossed the median.
FY 2011,11/06/10,10/10/10,"Pennell & Marlowe Land Surveyors,, Midland, TX 79705",Worker was changing the tire on a company truck using a small mechanical jack to lift the truck.  The truck slipped off the jack and fell onto worker.
FY 2011,11/06/10,10/21/10,"Busan Nissan Motor Sales,, Cincinnati, OH 45246","Worker fell, striking his head, while window washing from a ladder/ scaffold."
FY 2011,11/06/10,10/27/10,"Steele Rigging Corporation, Booneville, IN  47601",Workers were on a metal roof when the roof gave way and collapsed due to deterioration.  One worker fell through the roof.
FY 2011,11/06/10,10/31/10,"Blowout Tools, Inc.,, Fannin, TX 77963",Worker had installed a liquid nitrogen jacket around the outside of the conductor pipe and was flowing liquid nitrogen in order to form a plug.  Worker was found collapsed.
FY 2011,11/06/10,11/01/10,"Edwin Sousa Construction,, Greenwich, CT 06831",Worker was crushed when masonry portico fell from foundation wall into the trench where the worker was working.
FY 2011,11/06/10,11/01/10,"L. H. Woods & Sons, Colton, CA  92324",Worker was crushed between two pieces of steel K-rails.
