Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,04/23/11,04/16/11,"CP Integrated Services, Oklahoma City, OK 73197",Worker operating a skid steer was crushed by the equipment's arm.
FY 2011,04/23/11,04/16/11,"Stephen Mabry, Inc., Neptune Beach, FL 32266",Worker painting the side of a house on a ladder died after the ladder slipped off the scaffold and crashed 15-feet to the ground.
FY 2011,04/23/11,04/17/11,"Advanced Technology Services, Inc., East Peoria, IL 61630-1290",Worker checking for a hydraulic leak inside of a machine for cooling heated metal (quenching) was killed when the machine's lid crushed him.
FY 2011,04/23/11,04/17/11,"Berry Family of Nurseries, Hulbert, OK 74441",Worker driving a farm tractor downhill was killed after losing control and being ejected and run over by the tractor.
FY 2011,04/23/11,04/20/11,"Ancien Wines, Inc., Napa, CA 94559",Worker died after falling from ladder while transferring wine between storage tanks.
FY 2011,04/23/11,04/20/11,"Western Metal Recycling, Pueblo, CO 81004",Worker cutting a pressurized tank with a torch was killed when the tank exploded.
FY 2011,04/30/11,01/26/11,"Pilot Travel Center # 726, Dallas, TX 75241",Worker cleaning a truck parking lot and was struck and killed by a tractor trailer.
FY 2011,04/30/11,04/12/11,"Lighting Technologies, LP., Greenville, TX 75402",Worker retrofitting fixtures in an outdoor canopy was electrocuted after contacting an energized 277-volt electrical circuit.
FY 2011,04/30/11,04/16/11,"Vice Construction, Inc., Westwego, LA 70094",Worker was struck by the hammer of a pile driver.
FY 2011,04/30/11,04/18/11,"Barnhill Contracting Company, Tarboro, NC 27886",Worker was struck by a dump truck.
FY 2011,04/30/11,04/19/11,"Larry Eckert & Son, Orrington, ME 04474",Worker cutting down an oak tree was crushed between the skidder tire and tree.
FY 2011,04/30/11,04/21/11,"Erosion Barrier Installations, Corp., Estero, FL 33928",Worker surveying sediment in a retention pond drowned.
FY 2011,04/30/11,04/21/11,"Hesse Industrial Sales Inc. dba Texas Manufacturing, Houston, TX 77092",Worker using a forklift to load bundles of sprinkler pipes onto a flatbed trailer was crushed between the delivery truck and trailer after the forklift moved forward.
FY 2011,04/30/11,04/21/11,"Roofing Concepts Unlimited/Florida, Inc., Boynton Beach, FL 33472",Worker performing roof work on a one-story building was killed after falling 13 feet to the concrete floor.
FY 2011,04/30/11,04/22/11,"Canton Drop Forge, Canton, OH 44706","Worker was crushed between a parts bucket, barrel, and table after one of the bucket's cables broke."
FY 2011,04/30/11,04/22/11,"SER Construction Partners, LLC., Houston, TX 77021",A concrete finisher was killed after a truck carrying concrete lost control and ran over him.
FY 2011,04/30/11,04/22/11,"Youngblood Scrap and Metals, Longview, TX 75604",Worker using a propane and oxygen torch to cut a fuel tank was killed when the tank exploded.
FY 2011,04/30/11,04/23/11,"All American Recycling Corporation, Jersey City, NJ 07307",Worker performing maintenance on a wheel loader was crushed between a forklift and a packer truck.
FY 2011,04/30/11,04/25/11,"Ace Ethanol, LLC., Stanley, WI 54768",Worker died while performing cleaning operations inside a grain storage bin.
FY 2011,04/30/11,04/25/11,"Cleco Power, LLC., Natchitoches, LA 71457",Worker deciding how to fix a live wire hanging three feet from the ground was electrocuted after accidentally stepping on the wire.
FY 2011,04/30/11,04/25/11,"The Other Place, New Braunfels, TX 78130",Worker drowned in a river while trying to remove a rope swing from a tree.
FY 2011,04/30/11,04/25/11,"TK Stanley, Inc., Waynesboro, MS 39367","Worker dismantling an oil well flare stack was killed when the flare stack fell over, striking the worker's back."
FY 2011,04/30/11,04/26/11,"B&H Auto Repair, Los Angeles, CA 90016",Worker pouring gas from bucket into vehicle was killed by flash/fire explosion ignited from nearby work light.
FY 2011,04/30/11,04/26/11,"Grant Mackay Demolition Co., Galveston, TX 77550",Construction worker was killed when the second level of a structure being demolished collapsed on top of him.
FY 2011,04/30/11,04/27/11,"Harrington Forestry, Inc., Ashdown, AR 71822",Worker adjusting the brakes underneath a tractor trailer was crushed when the truck rolled forward.
FY 2011,04/30/11,04/27/11,"Hudmon Construction Co., Inc., Montgomery, AL 36104",Worker walking behind a bulldozer with a laser sight was killed when bulldozer operator backed up and over the worker.
FY 2011,04/30/11,04/27/11,"Mike Smith, Inc., Ft. Pierce, FL 34945",Worker operating a backhoe to clean a canal drowned when the backhoe slid into the canal.
FY 2011,04/30/11,04/28/11,"Austin Bridge & Road L.P., Tunica, LA 70782",Worker died after the aerial lift the worker was driving ran off the road and tipped over.
FY 2011,05/07/11,04/07/11,"Moo's Machine Works, Inc., Honolulu, HI 96819",Worker testing an articulating boom was killed when the boom fell and struck him.
FY 2011,05/07/11,04/07/11,"Rubbermaid Consumer, Winfield, KS 67056",Warehouse worker operating a conveyor died after falling seven feet from a steel rolling ladder to the concrete floor.
FY 2011,05/07/11,04/08/11,"Donaldson Enterprises Inc, Waipahi, HI 96797",Five workers were killed and one injured after an explosion occurred while destroying illegal fireworks.
FY 2011,05/07/11,04/21/11,"City of Eugene, Eugene, OR 97401",Police officer shot while approaching a vehicle during a traffic stop.
FY 2011,05/07/11,04/21/11,"Sprouse Farms, Inc., Plant City, FL 33567",Worker was picking strawberries and fainted; possible heat stress.
FY 2011,05/07/11,04/28/11,"Coastal Shoring, LLC., New Orleans, LA 70128",Worker installing safety cribbing underneath an elevated house was killed when the house shifted and fell on top of him.
FY 2011,05/07/11,04/28/11,"TJN Enterprises, Sioux Fall, SD 57104",Worker was struck and run over by a truck.
FY 2011,05/07/11,04/30/11,"Zellner Tire Center, LLC., Blenker, WI 54415",Worker using a jack to elevate and repair a truck's brakes was crushed when the truck fell off the jack and onto his chest.
FY 2011,05/07/11,05/01/11,"Braden Drilling, LLC., Smyrna, NY 13464",Worker died after being caught between a steel staircase on a reach forklift and a drilling rig trailer.
FY 2011,05/07/11,05/03/11,"Capitol Roofing, Cheyenne, WY 82002",Worker cutting roofing material at the edge of a roof was killed when he slipped and fell to the ground.
FY 2011,05/07/11,05/04/11,"Crockett County Hwy Dept., Alamo, TN 38001",Worker cutting down a tree was struck and killed by snapped tree limb.
FY 2011,05/07/11,05/05/11,"Donald Rhine, Corona, CA 92879",Worker removing tape from a window was killed after falling 20 feet from a scaffold.
FY 2011,05/07/11,05/05/11,"Great American Insulation, Inc., Taylor, TX 76574","Worker exited a delivery vehicle, rolled underneath it while it was still in motion, and was run over by the back wheels."
FY 2011,05/07/11,05/06/11,"Veolia Environmental Services, Alvin, TX 77512",Worker cleaning an industrial boiler suffered fatal burns after slipping into a steam pit while filling five-gallon buckets with water.
FY 2011,05/14/11,02/28/11,"International Bankshare Corp., San Antonio, TX 78207",Worker walking on an elevated catwalk died when he fell nearly 12 feet through an unsecured access door.
FY 2011,05/14/11,03/24/11,"AK Masonry LLC, Ogden, UT 84404",Worker grouting wall was killed when he fell 50 feet from scaffold.
FY 2011,05/14/11,04/13/11,"Fred M. Schidwacter & Sons, Inc., Bronx, NY 10461",Worker attempting to stop his oil truck from rolling was killed when he was caught underneath the truck.
FY 2011,05/14/11,05/03/11,"Ryan Companies US, Inc., Cedar Rapids, IA 52401",Worker died after falling 109 feet from a guarded 8th floor roof.
FY 2011,05/14/11,05/04/11,"Eller ITO, Miami, FL 33167",Marine cargo worker was struck and killed by a trailer.
FY 2011,05/14/11,05/04/11,"G. T. Installation Services Inc., Key Biscayne, FL 33149","One worker killed and one injured after 1,000 pounds of glass panels they were unloading fell on top of them."
FY 2011,05/14/11,05/04/11,"Jeff Watts Plaster & Stucco, Co., Long Boat Key, FL 34228",Worker using a lift to patch stucco on a house was killed when he fell out of the lift and was crushed by the lift's box.
FY 2011,05/14/11,05/04/11,"TRC Construction, Elko County, NV 89801",Worker died after falling 28 feet through a hole-opening on the roof of a remodel project.
FY 2011,05/14/11,05/05/11,"C.O. Delivery LLC., Henderson, CO 80640",Delivery worker was killed inside a warehouse when his truck pinned him against another vehicle.
FY 2011,05/14/11,05/06/11,"Calloway Contracting, Inc., Jacksonville, FL 32221",Worker holding a metal concrete slab hoisted by a crane was electrocuted when the crane touched an overhead powerline.
FY 2011,05/14/11,05/06/11,"JA Alexander Inc., Kenilworth, NJ 07033",Construction worker was killed after he was crushed by a machine's roller.
FY 2011,05/14/11,05/09/11,"Contra Costa County, Richmond, CA 94801",Worker died and tested positive for Legionnaires' disease.
FY 2011,05/14/11,05/09/11,"Futures Unlimited, Inc., Pontiac, IL 61764",Worker was struck and killed by a forklift.
FY 2011,05/14/11,05/09/11,"Sanderson Farms Inc., Hammond, LA 70404",A tractor trailer driver was killed by a freight train while driving across railroad tracks.
FY 2011,05/14/11,05/09/11,"Uniqco Group, Tampa, FL 33619",Worker was repairing a flat tire on a welding cart on a roof. He slipped and fell off the roof to the ground.
FY 2011,05/14/11,05/10/11,"Nabors Drilling, Williston, ND 58801","Worker walking out of a building, collapsed and died from possible electrocution."
FY 2011,05/14/11,05/10/11,"Sipp Trucking, Allen, TX 75013","Worker using a forklift to unload 2,100 pounds of rubber pipes from a flatbed truck was killed when the pipes slipped and fell on him."
FY 2011,05/14/11,05/11/11,"Harbor Point Mineral Products, Utica, NY 13502",Worker died after being trapped in a silo.
FY 2011,05/14/11,05/11/11,"River Run Apartments, LLC, Macomb, IL 61455",Worker repairing air conditioning units died from a heart attack; possibly heat-related.
FY 2011,05/14/11,05/12/11,"Smedley's Tree Service, Louisville, OH 44641",Electrical worker cutting down a tree was killed when the hydraulic cylinder came loose causing him to fall 30-feet to the ground.
FY 2011,05/14/11,05/12/11,"William Grant Tank & Vessel, Inc., Henderson, TX 75652","Worker using a scaffold to gain access to a fabricated pressure vessel died after the scaffold dislodged, causing him to fall nearly 12 feet to the concrete floor."
FY 2011,05/21/11,05/04/11,"Henrie Trucking, LLC, Kaysville, UT 84037",Worker unloading dump truck was crushed when the truck's tailgate fell on his head and neck.
FY 2011,05/21/11,05/06/11,"Formation Plastics, Quinter, KS 67752",Worker troubleshooting material being formed in a pressure former was killed when he was crushed between the press frame and the moving plate.
FY 2011,05/21/11,05/09/11,"IL Dept. of Natural Resources, Morris, IL 60450",Worker sitting on tractor bucket loader while taking a break was struck and killed by a car driven by park patron.
FY 2011,05/21/11,05/09/11,"Jose Ricardo Guerrero, Rose Hill, KS 67113",Worker reroofing a residential structure died from an apparent heat stroke.
FY 2011,05/21/11,05/10/11,"Ramsey Oil, Hutchinson, KS 67501",Worker cutting down a large tree died after the tree fell on him.
FY 2011,05/21/11,05/11/11,"Roden Landscaping, Festus, MO 63028","Worker moving a trailer loaded with straw bales collapsed and died, possibly from heat stress."
FY 2011,05/21/11,05/11/11,"Stimson Lumber Company, Gaston, OR 97119",Worker killed and two injured in an explosion while attempting to disassemble a hydraulic accumulator charged with nitrogen gas.
FY 2011,05/21/11,05/12/11,"Daves Tree Service, Bock, MN 55313",Worker cutting down tree was fatally injured when the tree base hit him in the chest.
FY 2011,05/21/11,05/12/11,"DBA/ Jose Rivera, Hartford, CT 06103",Window washer lowering equipment to the ground died after falling from the roof of an eight-story building.
FY 2011,05/21/11,05/12/11,"First American Resources Company, LLC., Mableton, GA 30126-2942",Worker inspecting coil machine rollers was killed when he reached into the machine while in operation and was pulled in.
FY 2011,05/21/11,05/12/11,"Menzi USA Sales, Inc., Ft. Pierce, FL 34982","Worker disconnecting a hydraulic hose from a fitting cab died when the cab fell, landing on him."
FY 2011,05/21/11,05/12/11,"The Fishel Company, Tampa, FL 33613",Worker transferring energized power lines from an old pole to a new one was electrocuted when he touched an uninsulated part of the power line.
FY 2011,05/21/11,05/13/11,"Gustav Koven, Santa Monica, CA 90407","Worker fell from ladder into a 3-foot deep drained pool, possibly of cardiac arrest."
FY 2011,05/21/11,05/14/11,"Bimm Enterprises, Angels Camp, CA 95222",Worker trying to stop his truck from rolling down the hill died after the truck ran over him.
FY 2011,05/21/11,05/16/11,"James Hamilton Construction, Caballo, NM 87931",Worker struck by semi truck while working in a highway work zone.
FY 2011,05/21/11,05/16/11,"Mullins Marine Service, Inc., Winthrop, MA 02152","Worker using a device to loosen the wire cable that secured a boat was killed when the device broke from the concrete, trapping the worker against the wall."
FY 2011,05/21/11,05/16/11,"Stutesman Auto Salvage, Highlandville, MO 65669",Worker was killed when the tractor tire he was inflating exploded.
FY 2011,05/21/11,05/16/11,"T.C. Thompson Builder, Inc, Artesia, NM 88210","Worker using a saw to cut through a building frame at an airport hangar was killed when sparks ignited insulation, causing a fire."
FY 2011,05/21/11,05/17/11,"C J Doudrick, York, PA 17404",Tree service worker died after falling 30 feet when the fiberglass boom supporting the bucket in which he was standing broke.
FY 2011,05/21/11,05/17/11,"Pacific Alaska Shellfish Company, Inc., Nikiski, AK 99635",Five fishermen transporting fish to land drowned when their vessel sank.
FY 2011,05/21/11,05/17/11,"Wallace Paving, West Chicago, IL 60185",Worker died after he was pinned between truck trailers at work site.
FY 2011,05/21/11,05/18/11,"City of Las Vegas, Las Vegas, NM 87701",Two workers installing a new water line died after being caught in an excavation wall collapse.
FY 2011,05/21/11,05/20/11,"Whirlpool Corp. Marion Division, Marion, OH 43302",Production line worker collapsed and died.
FY 2011,05/28/11,05/12/11,"Carlsbad Block & Supply, Carlsbad, NM 88220",Worker making repairs underneath a vehicle was crushed when the blocks supporting it shifted.
FY 2011,05/28/11,05/13/11,"Superior Painting & Construction, Houston, TX 77043",Worker using a 24-foot aluminum ladder to paint the exterior walls of an apartment complex was electrocuted when his equipment contacted an overhead powerline.
FY 2011,05/28/11,05/13/11,"TEC Payroll Services, Kansas City, MO 64108",Worker rigging a concert stage died after losing his footing and falling 40 feet.
FY 2011,05/28/11,05/16/11,"Event Coordinators, Inc., Greensboro, NC 27403",One worker killed and one injured after falling while disassembling a carnival ride.
FY 2011,05/28/11,05/18/11,"Herzog Railroad Services, Inc., St. Joseph, MO 64507",Worker making repairs while lying underneath a rail car was crushed when the supports holding up the car broke.
FY 2011,05/28/11,05/18/11,"XL Plastering, Santa Ana, CA 92704",Worker fell 3 stories from roof onto sidewalk while plastering adjacent wall with no fall protection.
FY 2011,05/28/11,05/20/11,"Delmonte Pet Foods, Topeka, KS 66618",Employee working alone found unresponsive on concrete floor next to equipment.
FY 2011,05/28/11,05/20/11,"H Construction Systems Inc., Littlefield, TX 79339","Worker fell 20 feet from a roof, then later died of a heart attack after being transported to the hospital."
FY 2011,05/28/11,05/20/11,"P.B. Sod Farms, Chino, CA 91710",Two workers were electrocuted after the irrigation pipe they were moving contacted an overhead power line.
FY 2011,05/28/11,05/21/11,"Bellagio Wood Tank Co. Inc., Healdsburg, CA 95448",Worker crushed when tractor overturned.
FY 2011,05/28/11,05/22/11,"Performance Contractors Inc., Plaquemines, LA 70764",Worker entered a confined space and was asphyxiated.
FY 2011,05/28/11,05/22/11,"Sam Broussard Trucking Co., Inc., Geuydan, LA 70542","Truck driver died from burn injuries after truck caught fire from colliding with two other vehicles, flipping over and landing in a ditch."
FY 2011,05/28/11,05/22/11,"Shin Tech Louisiana LLC, Plaquemines, LA 70764",Worker entered a confined space and was asphyxiated.
FY 2011,05/28/11,05/23/11,"A. Merante Contracting, Inc., Pittsburgh, PA 15213",Worker smoothing the ground in preparation for concrete was run over by a skid-steer.
FY 2011,05/28/11,05/23/11,"Cambridge Fire Dept., Cambridge, MN 55008",Worker fell and hit head during training.
FY 2011,05/28/11,05/23/11,"Nucor Steel, Memphis, TN 38109",Worker pinned between forklift load and rack of steel.
FY 2011,05/28/11,05/24/11,"Britton Bridge, Knoxville, TN 37920",Worker struck and killed by a piece of concrete that fell from a bridge while doing demo work.
FY 2011,05/28/11,05/24/11,"Klapp Roofing Company, Bettendorf, IA 52722",Worker fell from flat roof approximately 26 feet to ground below.
FY 2011,05/28/11,05/24/11,"National Gypsum, Mount Holly, NC 28120",Worker died after being pinned under the arms of a transfer table while cleaning equipment.
FY 2011,05/28/11,05/24/11,"Rojas All Repairs, Wilmington, DE 19805",Worker using an aluminum extension ladder on roof was killed after falling 30 feet to the ground.
FY 2011,05/28/11,05/24/11,"SCP Distributors, LLC., Conroe, TX 77385","Worker was killed when the 18-wheeler truck he was unloading rolled backward, pinning him between the bumper and the loading dock."
FY 2011,05/28/11,05/25/11,"Kenyon Plastering, Lubbock, TX 79416","Worker dropping pieces of scaffolding to a lower level was killed when his vest got caught in one of the pieces, causing him to fall 14 feet to the ground."
FY 2011,05/28/11,05/25/11,"Thompson Electric Inc., Wooster, OH 44691",Worker operating a derrick truck was electrocuted after coming into contact with an energized line.
FY 2011,05/28/11,05/25/11,"Tyler Perrigo, Seaside, OR 97138",Worker killed in explosion while trying to cut the top off of a 55-gallon drum with a plasma cutter.
FY 2011,05/28/11,05/26/11,"Go Native, Inc., Coastside, CA 94062",One worker was killed and five injured when their forest services truck ran off the road and rolled down a hill.
FY 2011,05/28/11,05/26/11,"Hawthorne Police Dept., Torrance, CA 90250",Police officer killed in collision between two motorcycles during officer funeral.
FY 2011,06/04/11,02/25/11,"Federal Marine Terminals, Palmetto, FL 34221",Worker died after falling inside a marine vessel.
FY 2011,06/04/11,05/03/11,"ITT Corporation, Maxwell AFB, AL 36112","Worker servicing truck's brakes was killed after the truck moved in reverse and struck, dragged, and ran over her."
FY 2011,06/04/11,05/07/11,"Plakos Scrap Processing Inc., Brooklyn, NY 11236",Worker was killed when a wheeled tractor with attached forks struck him.
FY 2011,06/04/11,05/13/11,"Lee's Tree Trimming & Tree Removal, Enterprise, AL 36330","Worker using an aerial lift to cut down a 72-foot tree was killed when the tree top swung back and hit the lift bucket, causing the worker and bucket to fall 52 feet."
FY 2011,06/04/11,05/16/11,"Dillards Department Store, Montgomery, AL 36117",Worker changing store's light bulbs fractured his skull after falling from a 12-foot ladder.
FY 2011,06/04/11,05/20/11,"Lowes, Inc., Enterprise, AL 36330","Worker was killed after his truck rolled back, crushing him between his and another truck."
FY 2011,06/04/11,05/23/11,"Frank Cross dba Cross Cut Tree Service, Old Hickory, TN 37135","Worker electrocuted after his positioning device came in contact with a 13,200 volt powerline."
FY 2011,06/04/11,05/23/11,"Nucor Steel Memphis, Inc., Memphis, TN 38109",Worker pinned between the load on a powered industrial truck and a stack of steel.
FY 2011,06/04/11,05/23/11,"Universal Service, Inc., Trenton, FL 32693",Worker cleaning sludge died after complaining of not feeling well.
FY 2011,06/04/11,05/24/11,"Ardaman & Associates, Bal Harbour, FL 33154",Marine terminal worker complaining of not feeling well later died at the hospital.
FY 2011,06/04/11,05/24/11,"Cobb & Cobb Seed Company, Davisboro, GA 31018",Worker changing a tire was struck and killed by a trailer.
FY 2011,06/04/11,05/24/11,"Grove Farm Fish Hukilau Foods, Honolulu, HI 96814","Worker found unconscious on ocean floor while performing commercial diving, later died from unknown cause."
FY 2011,06/04/11,05/24/11,"Huggins Tire Sales, Inc., Concord, NC 28027",Worker died from head injuries after falling from the bed of a loaded pickup truck.
FY 2011,06/04/11,05/25/11,"PECO, Philadelphia, PA 19101",Worker fell 60 feet while working on a utility pole.
FY 2011,06/04/11,05/26/11,"Spartan Manufacturing Corp, Kernersville, NC 27284",Worker standing on top of a storage room died after falling off a 9-foot ladder.
FY 2011,06/04/11,05/27/11,"E. I. du Pont de Nemours and Company, Electronic Technologies, Circleville, OH 43113",Department store worker died after collapsing to the floor.
FY 2011,06/04/11,05/27/11,"Peak Steel, LLC, Apex, NC 27523",Worker received fatal injuries after being struck by a falling section of structural steel.
FY 2011,06/04/11,05/28/11,"TGGT Holding, LLC, Shreveport, LA 71101","One worker was killed, another injured when the pressure vessel from a nearby tank exploded."
FY 2011,06/04/11,05/31/11,"Annbriar Golf Course, Inc., Waterloo, IL 62298-5225",Groundskeeper operating a commercial mower died after the mower veered off path and down a steep embankment.
FY 2011,06/04/11,05/31/11,"Bermudez Longo Diaz-Masso LLC, San Juan, PR 00926",Worker crushed when tower supporting truck shifted and truck fell on worker.
FY 2011,06/04/11,05/31/11,"Elemental Holdings LLC, Jackson, TN 38301",Worker changing rolls in the rolling mill was crushed by falling top roll.
FY 2011,06/04/11,05/31/11,"Wharncliffe Compressor Station, Wharncliffe, WV 25621","Worker performing maintenance at a natural gas compressor station died after complaining about the heat and major pain in his arm, chest, and stomach."
FY 2011,06/04/11,06/01/11,"Ringo Drilling LLP, Ozona, TX 79563",Worker fixing a leak on a centrifugal pump was electrocuted when he came in contact with an energized circuit.
FY 2011,06/04/11,06/02/11,"Terry Smith Tree Services, Inc., Ormond Beach, FL",Worker was electrocuted while trimming trees near overhead powerline.
FY 2011,06/04/11,06/04/11,"Metalico Rochester, Inc., Rochester, NY 14605-2269",Worker was crushed in a compactor/baler.
FY 2011,06/11/11,04/14/11,"Our Lady of Angels, Burlingame, CA 94010",Worker changing light bulb on roof fell 30 feet from ladder to concrete ground below.
FY 2011,06/11/11,05/03/11,"Showpay LLC, Orlando, FL 32821",Worker was struck by a stack of industrial lighting that was being raised on a forklift.
FY 2011,06/11/11,05/13/11,"AEG Live Productions, LLC Kansas City, MO 64108",Worker putting together a concert stage died when he fell from a 40-foot overhead truss.
FY 2011,06/11/11,05/21/11,"Dynamic Auto Brokers, Inc., Sussex, NJ 07461","Worker removing a downed tree was electrocuted after coming in close proximity to a 7,200-volt downed powerline."
FY 2011,06/11/11,05/26/11,"Southwood Apartments, Morrow, GA 30260",Worker moving window sills from a delivery truck died when he collapsed and struck his head on the asphalt.
FY 2011,06/11/11,06/03/11,"Kilderry Painting, Winthrop, MA 02152",Worker painting the outside of a residentail house died when he fell 14 feet from the ladder.
FY 2011,06/11/11,06/04/11,"Prevail Energy, Incorporated, Corpus Christi, TX 78418",A worker was killed when a tractor being loaded onto a trailer flipped over the trailer and struck the worker.
FY 2011,06/11/11,06/06/11,"Bowser Precision Areadia, PA 15712",Worker was fatally burned when the diesel fuel tank he was repairing exploded.
FY 2011,06/11/11,06/06/11,"Mountain States Constructors, Moriarty, NM 87035",Worker performing maintenance died after being caught in between a closing hopper door.
FY 2011,06/11/11,06/06/11,"Southern Tree Services, Gunthersville, AL 35976",Worker was struck and killed by a falling tree.
FY 2011,06/11/11,06/07/11,"Acme Galvanizing, Inc., Milwaukee, WI 53215","Worker using a crane to move a 1,200-pound steel bar was crushed when the bar fell on top of him."
FY 2011,06/11/11,06/07/11,"Cooperative Elevator Assoc., Ocheyedan, IA 51354",Worker transferring grain into a storage facility was found engulfed in the outside grain pile.
FY 2011,06/11/11,06/07/11,"G&J Pepsi Cola, Washington Court House, OH 43610",Worker delivering soft drink products died after going into convulsions.
FY 2011,06/11/11,06/07/11,"Interstate Waste Services, Inc., Chester, NY 10918",Waste disposal worker crossing street to collect trash cans was struck and killed by oncoming car.
FY 2011,06/11/11,06/07/11,"Southern California Value, Santa Fe Springs, CA 90670","Worker stepped through skylight on roof while flying a kite, falling 30 feet to concrete below."
FY 2011,06/11/11,06/07/11,"Southern Scrap of Meridian LLC, Meridian, MS 39307",Worker fixing a truck's brake lines was crushed between the truck and trailer.
FY 2011,06/11/11,06/07/11,"Triangle Paving & Grading Inc, Durham, NC 27703",Two workers died from oxygen deprivation after getting trapped in a manhole.
FY 2011,06/11/11,06/07/11,"Tyson Fresh Meats, Inc., Holcomb, KS 67851",Worker cutting up meat died when he bumped into a coworker and the knife in the coworker's hand cut the worker's neck.
FY 2011,06/11/11,06/08/11,"Back Country Logging, Elkins, WV 26241","A skidder operator transporting logs was killed when the skidder's wheel rolled over a log, causing the log to flip up and strike the worker's head."
FY 2011,06/11/11,06/08/11,"Edie Waste Incorporated, Marietta, PA 17547",Worker underneath vehicle making repairs to its wheel was crushed when the hand jack supporting the vehicle gave way.
FY 2011,06/11/11,06/08/11,"Hot Springs Village Property Owners Association, Hot Springs Village, AR 71909","Worker cleaning a grinder's conveyor belt was killed when the equipment's screen fell, pinning the worker against the screen bar and the back of the grinder."
FY 2011,06/11/11,06/09/11,"Heller Brother's Packing Corp, Immokalee, FL 34142",Worker using ladder to perform tree maintenance was electrocuted after touching a powerline.
FY 2011,06/11/11,06/09/11,"Martin Marietta Materials, Fort Calhoun, NE 68023","Worker, driving a truck in reverse that was filled with rocks, drowned when the truck rolled into the water after the worker failed to respond to warnings to stop."
FY 2011,06/11/11,06/09/11,"Milestone Contractors, Lafayette, IN 47906",Worker was struck and killed by a car while painting stripes on the highway.
FY 2011,06/11/11,06/09/11,"Sonny Jackson Roofing, Inc, Richmond, CA 94801",Worker installing plywood roofing died after falling nearly 20 feet off the edge of a residential roof.
FY 2011,06/11/11,06/10/11,"Marjam Supply of Alabama, LLC, Montgomery, AL 36117","Worker trying to secure the crane operator seat with a bungee cord died from head injuries when the cord snapped, causing him to fall 10 feet to the ground."
FY 2011,06/18/11,11/09/10,"FGJ, Inc. dba Lone Star Machine, Shallowater, TX 79363",Worker was using a lathe machine when his clothing got caught. Worker pulled his clothing out of the machine and fell and hit his head on the concrete floor.
FY 2011,06/18/11,04/18/11,"Wachter Network Services, Harper Woods, MI 48225",Worker electrocuted while relocating televisions and cabling above an office ceiling.
FY 2011,06/18/11,04/21/11,"Ronald J Overbeek Contr. Inc., Plainwell, MI 49080",Worker struck by falling trusses and knocked to the ground.
FY 2011,06/18/11,04/27/11,"Wrangler VF Jeanwear, Inc., Hackleburg, AL 35564",Worker was taking shelter during a tornado and was struck by a steel beam from a collapsing building.
FY 2011,06/18/11,05/02/11,"South Fork Gardening and Landscape Inc., Southampton, NY 11968",Worker repairing a skid-steer was crushed by the equipment's rear arm assembly.
FY 2011,06/18/11,05/16/11,"Russell Brands, LLC., Alexander City, AL 35010","Worker lowering a 332-pound ink drum was killed when he lost control of the drum, fell to the ground and hit his head on the concrete floor and pallet."
FY 2011,06/18/11,05/27/11,"Peak Steel LLC, Raleigh, NC 27523","Worker died from staph infection after surgery on neck, which was injured when struck by falling structural steel."
FY 2011,06/18/11,05/30/11,"Pine Grove Farm, Standish, MI 48658",Worker engulfed in silo after top layer of corn collapsed.
FY 2011,06/18/11,06/03/11,"Hascall & Hall, Auburn, ME 04210",Worker was found with his neck under a 5-foot section of scaffolding.
FY 2011,06/18/11,06/07/11,"Garza Contracting, Inc., Arvin, CA 93203",Worker died after falling from an 8-foot tripod ladder while thinning peach trees.
FY 2011,06/18/11,06/08/11,"Bak Auto Inc., Scottdale, GA 30079",Worker was servicing a vehicle when it slipped off of the jack stand and crushed the worker.
FY 2011,06/18/11,06/09/11,"Dakota AG Cooperative, Kindred, ND 58051",Worker exited a front-end loader and became caught in grain flow.
FY 2011,06/18/11,06/09/11,"Houston Electric, Waco, TX 76009",Worker was installing wiring to lights in an office when he came in contact with a live electrical connection.
FY 2011,06/18/11,06/10/11,"Campbell Maritime Inc., Seward, AK 99664",Worker fell from the edge of a platform into the water.
FY 2011,06/18/11,06/10/11,"Commercial Lawn Management of Wichita, Wichita, KS 67209",Worker engaging in weed trimming along the curb was struck by a motor vehicle.
FY 2011,06/18/11,06/10/11,"Rainbow, Inc., Minneapolis, MN 55427",Worker was in an aerial lift and was caught between the lift and a horizontal beam.
FY 2011,06/18/11,06/10/11,"Squeegee Squad, St. Louis Park, MN 55426",Window washer died after falling from an 8-story building.
FY 2011,06/18/11,06/11/11,"Planet Organics Inc., Oakland, CA 94601","Worker struck by rolling, unattended delivery van."
FY 2011,06/18/11,06/11/11,"Robinson Drilling of Texas, Ltd., Lamesa, TX 79331",Workers were pushing the kelly towards a mouse hole. The kelly bushing blew apart and pieces struck two employees on the head.
FY 2011,06/18/11,06/11/11,"Thermoclad Company, Inc., Erie, PA 16511",Worker suffered a heart attack.
FY 2011,06/18/11,06/12/11,"Lowe's Home Center, Inc., Charlotte, NC 28203",Worker struck by roll-up door as he was closing it.
FY 2011,06/18/11,06/12/11,"Resource Management Companies, Earth City, MO 63045",Worker fatally injured inside a baler attempting to free a jam when both legs were amputated.
FY 2011,06/18/11,06/13/11,"FESCO LTD., Mansfield, LA 71052",Worker was relieved from work on a Friday and was found dead in the crew quarters on Monday. Cause of death undertemined.
