Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
4/12/2014,"Mass Bay Electrical Corp., Bourne, MA 02532",Twoworkers killed when aerial lift overturned.,Fatality,,,,,,,,,,,,,,
4/12/2014,"Porter Roofing Contractors Inc., Dalton, GA 30721",Worker killed after falling through collapsed roof.,Fatality,,,,,,,,,,,,,,
4/11/2014,"Starkist Tuna Cannery, Peter E. Reid Stevedoring Inc., Pago Pago, AS 96799",Worker was struck and killed by truck.,Fatality,,,,,,,,,,,,,,
4/10/2014,"Henry J. Varian Inc., Nantucket, MA 02554", Worker died in fall from scaffold.,Fatality,,,,,,,,,,,,,,
4/10/2014,"K & M Equipment Inc., East Moline, IL 61244",Worker performing sandblasting was fatally crushed under counterweight.,Fatality,,,,,,,,,,,,,,
4/10/2014,"M&M Logging, San Diego, CA 91911",Worker killed after being ejected from heavy equipment.,Fatality,,,,,,,,,,,,,,
4/10/2014,"Park Tower Apartments, Lubbock, TX 79411",Worker electrocuted while transferring wires.,Fatality,,,,,,,,,,,,,,
4/9/2014,"Community Based Activity Program for Special Need, Forest Grove, OR 97116",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
4/9/2014,"Jared Langley Enterprises Inc., Florence, MT 59833",Worker died after falling from residential roof.,Fatality,,,,,,,,,,,,,,
4/9/2014,"Napa Auto Parts, Lees Summit, MO 64081",Worker died after vehicle was struck by another.,Fatality,,,,,,,,,,,,,,
4/9/2014,"Union Pumping L.P., Laredo, TX 78041",Worker struck and killed by front-end loader.,Fatality,,,,,,,,,,,,,,
4/8/2014,"Eaton Corporation Sumter, SC 29154",Worker electrocuted while testing switchboard.,Fatality,,,,,,,,,,,,,,
4/8/2014,"Gopher Excavation Inc., Johnstown, CO 80534",Worker struck and killed by powered saw.,Fatality,,,,,,,,,,,,,,
4/8/2014,"Kinder Morgan, Blytheville, AR 72315",Two workers drowned when barge capsized.,Fatality,,,,,,,,,,,,,,
4/8/2014,"Roll Former Corporation, Chalfont, PA 18914",Worker struck and killed by the roller shaft from a lathe machine.,Fatality,,,,,,,,,,,,,,
4/8/2014,"Taylor's Trucking & Dozer Services, Parkersburg, WV 26106",Worker killed in vehicle crash.,Fatality,,,,,,,,,,,,,,
4/7/2014,"Apartments Downtown,  Inc., Iowa City, IA 52245",Worker died from fall while repairing wall.,Fatality,,,,,,,,,,,,,,
4/7/2014,"Condominium Administration Services and Accounting, Santurce, PR 00907",Worker killed after falling through skylight.,Fatality,,,,,,,,,,,,,,
4/7/2014,"Raymond Cazarez, Inglewood, CA 90304",Worker repairing an AC unit died in fall from forklift.,Fatality,,,,,,,,,,,,,,
4/7/2014,"UC Berkeley, Berkeley, CA 94720",Worker died after falling from lift.,Fatality,,,,,,,,,,,,,,
4/7/2014,"Under The Wire, Los Angeles, CA 90041",Worker electrocuted while installing security cameras.,Fatality,,,,,,,,,,,,,,
4/6/2014,"David DiBonaventura dba Timberland Tree, Ventura, Fayetteville, NC 28303",Worker died from fall while cutting tree branches.,Fatality,,,,,,,,,,,,,,
4/6/2014,"NYCDP PSA 1, Brooklyn, NY 11224",Worker died from carbon monoxide poisoning.,Fatality,,,,,,,,,,,,,,
4/6/2014,"R Baker, Inc.  Ridgeville, SC 29472",Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
4/5/2014,"Lee Specialty, Belmont, OH 43718",Worker crushed by blow-out preventer.,Fatality,,,,,,,,,,,,,,
4/4/2014,"Connelly Crane Rental Corporation, Ecorse, MI 48229",Worker struck and killed by counterweights from a crane.,Fatality,,,,,,,,,,,,,,
4/4/2014,"Eller Inc., Beaver, WV 25813",Worker killed when hay roll fell on him.,Fatality,,,,,,,,,,,,,,
4/4/2014,"Haverhill Chemicals LLC, Haverhill, OH 45636",Worker clearing a drain line died after being sprayed with chemicals.     ,Fatality,,,,,,,,,,,,,,
4/4/2014,"S & S Equipment & Supply Inc., Midland, TX 79702",Worker died in fire caused by heater.,Fatality,,,,,,,,,,,,,,
4/4/2014,"Taste O South, Arrington, VA 22922",Worker repairing brakes killed after becoming caught and dragged by bus.,Fatality,,,,,,,,,,,,,,
4/3/2014,"Blue Seal Petroleum of Stuttgart Inc., Stuttgart, AR 72160",Worker repairing back-hoe tire died after the tire burst.,Fatality,,,,,,,,,,,,,,
4/3/2014,"Gulf Island LLC, Houma, LA 70361",Employee struck and killed by steel plate while working on crane support. ,Fatality,,,,,,,,,,,,,,
4/2/2014,"AET Electric Inc., Harrington, DE 19952",Worker killed when fork truck struck concrete barrier.,Fatality,,,,,,,,,,,,,,
4/2/2014,"East Texas Utility Services Inc., Bullard, TX 75757",Worker electrocuted when bucket contacted an energized powerline.  ,Fatality,,,,,,,,,,,,,,
4/2/2014,"England Liquid Fertilizer Inc., Pine Bluff, AR 71601",Worker crushed and killed by farm tractor.,Fatality,,,,,,,,,,,,,,
4/2/2014,"H & R Construction, Buhl, ID 83316",Worker died in fall from roof.,Fatality,,,,,,,,,,,,,,
4/2/2014,"Pak National Gen. Corp., New York, NY 10019",Worker died after falling from scaffold.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Arrow Water Well Inc., Shamrock, TX 79079",Worker electrocuted when mast of well drilling rig contacted overhead power lines.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Bagley Hardwood Products, Inc., Bagley, MN 56621",Worker crushed and killed by overhead door.,Fatality,,,,,,,,,,,,,,
4/1/2014,"C and C General Contractors Inc., Bradley, IL 60915",Worker killed when powered industrial vehicle tipped over.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Communications Specialists Incorporated, Cary, MS 39054",Worker killed after falling through a skylight.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Gilmore's Inc., Kingfisher, OK 73750",Worker sturck and killed by bulldozer.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Power Electric Services Inc., Tampa, FL 33634",Worker electrocuted after contacting live wire.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Sam's Roofing LLC, Houston, TX 77008",Worker setting up cables died after falling through skylight.,Fatality,,,,,,,,,,,,,,
4/1/2014,"Victor Allen Hawkins, Grayville, IL 62844",Worker killed after being pinned between a boom arm and cab.   ,Fatality,,,,,,,,,,,,,,
3/31/2014,"B.V. Nevada Corp., Fernley, NV 89408",Worker fatally crushed by pipe.,Fatality,,,,,,,,,,,,,,
3/31/2014,"Certified Heat Treating Inc., West Carrollton, OH 45449",Worker killed after being caught between furnace door and conveyor.,Fatality,,,,,,,,,,,,,,
3/31/2014,"Coopersburg Bagging, Coopersburg, PA 18036",Worker killed when tire on loader tire burst.,Fatality,,,,,,,,,,,,,,
3/31/2014,"Home Depot, Baton Rouge, LA 70815",Worker struck and killed by vehicle while collecting store carts.,Fatality,,,,,,,,,,,,,,
3/31/2014,"John A. Daisin and Son, Inc., St. Paul, MN 55117",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
3/31/2014,"Johnson City Vill Police Dept, Johnson City, NY 13790",Worker shot and killed.,Fatality,,,,,,,,,,,,,,
3/31/2014,"The Brickman Group Ltd, LLC, Clarksburg, MD 20851",Worker stuck and killed by skid steer.,Fatality,,,,,,,,,,,,,,
3/27/2014,"Detail Services Inc. dba Detail Slate and Tile, Southern Pines, NC  28387",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
3/27/2014,"Fox Creek Golf Club, Inc., Lamar, SC 29069",Worker killed in fall from tractor.,Fatality,,,,,,,,,,,,,,
3/27/2014,"Southwest Georgia Ethanol LLC, Pelham, GA 31779",Worker in a grain storage silo killed after becoming entrapped by sweep auger.,Fatality,,,,,,,,,,,,,,
3/27/2014,"The Sherwin-Williams Company, Greensboro, NC  27409",Worker died when a mixing tank caught fire.,Fatality,,,,,,,,,,,,,,
3/27/2014,"TJB Enterprises, Inc., Salkum, WA 98582",Worker struck and killed by falling limb while performing tree cutting operations.,Fatality,,,,,,,,,,,,,,
3/26/2014,"Green Acres Lake Park Resort, Diamond, OH 44412",Worker painting a bathroom died in fire caused by space heater.,Fatality,,,,,,,,,,,,,,
3/26/2014,"Walter O. Krumbiegel Middle School, Hillside, NJ 07205",Worker died from injuries after falling in cafeteria.,Fatality,,,,,,,,,,,,,,
3/25/2014,"Dickerson and Bowens, Brookhaven, MS 39601",Worker performing flagging duties was struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
3/25/2014,"Duke Energy, Carmel, IN 46032",Worker killed by electric arc flash while installing grounds on conductors.,Fatality,,,,,,,,,,,,,,
3/25/2014,"Wireless Horizon, Westmoreland, KS 66549",Two workers killed when a wireless communications tower collapsed.  ,Fatality,,,,,,,,,,,,,,
3/24/2014,"Horizon Lines of Puerto Rico, San Juan, PR 00920",Worker was run over by a top loader.,Fatality,,,,,,,,,,,,,,
3/23/2014,"AJH Enterprises LLC, Toms River, NJ 08753",Worker died in fall from step ladder.,Fatality,,,,,,,,,,,,,,
3/23/2014,"Anchor Packaging, Paragould, AR 72450",Worker electrocuted after contacting power cord.,Fatality,,,,,,,,,,,,,,
3/22/2014,"Graham County Land Company, Hannibal, OH 43931",Worker struck and killed by falling tree. ,Fatality,,,,,,,,,,,,,,
3/21/2014,"Dolly DYK Cleaning Corp, Boston, MA 02116",Worker killed in fall down elevator shaft. ,Fatality,,,,,,,,,,,,,,
3/21/2014,"Mack's S & S Construction, Catoosa, OK 74015",Worker crushed by dump truck.,Fatality,,,,,,,,,,,,,,
3/21/2014,"Olney Masonry Corporation, Towson, MD 21286", Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
3/20/2014,"Ensign United States Drilling Inc., Killdeer, ND 58640",Worker struck and killed by traveling blocks while working on a drilling rig.,Fatality,,,,,,,,,,,,,,
3/20/2014,"Haas-Anderson Construction Ltd, Sinton, TX 78387",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
3/20/2014,"Midwest Farmers Cooperative, Tecumseh, NE 68450",Worker died from exposure to anhydrous ammonia released during transfer from tanker trailer to bulk storage tank.,Fatality,,,,,,,,,,,,,,
3/20/2014,"Vision Pool, Newport Coast, CA 92657",Worker drowned in pool.,Fatality,,,,,,,,,,,,,,
3/20/2014,"Volles Dairy Farm LLC, Marietta, NY 13110",Worker performing maintenance on truck was crushed by  hydraulic dump body. ,Fatality,,,,,,,,,,,,,,
3/19/2014,"Chicago Doorways LLC, Chicago, IL 60611",Worker died after falling from ladder.,Fatality,,,,,,,,,,,,,,
3/19/2014,"G.E. Drywall, Bella Vista, CA 96008",Worker killed in fall from height.,Fatality,,,,,,,,,,,,,,
3/19/2014,"Ingram Ready Mix, Converse, TX 78109",Worker struck and run over by truck.     ,Fatality,,,,,,,,,,,,,,
3/19/2014,"Mendocina County Sheriff's Office, Cleone, CA 95437",Worker shot while in pursuit of suspect.,Fatality,,,,,,,,,,,,,,
3/19/2014,"Redwing Electric, LLC, Pasadena, MD 21122",Worker killed in fall from water tower.,Fatality,,,,,,,,,,,,,,
3/18/2014,"Helicopters, Inc, Seattle, WA 98109",Two workers killed in a news helicopter crash. ,Fatality,,,,,,,,,,,,,,
3/18/2014,"The Coca-Cola Company, Atlanta, GA 30308",Worker killed in fall on stairway.,Fatality,,,,,,,,,,,,,,
3/18/2014,"Will County - ICT Department, Joliet, IL 60432",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/17/2014,"City of Oaks Forest - Police Dept., Oak Forest, IL 60452",Worker responding to domestic violence call struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
3/17/2014,"King's Boxing Gym, Oakland, CA 94601",Boxer killed after being struck while sparring.,Fatality,,,,,,,,,,,,,,
3/17/2014,"Meekhof Tire Sales and Service, Inc., Grand Rapids, MI 49503",Worker repairing tire was crushed when truck cab fell on him.,Fatality,,,,,,,,,,,,,,
3/17/2014,"Varsity Cycle Inc., Wilton Manors, FL 33306",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/16/2014,"Caring and Sharing of South Walton County Inc., Santa Rosa Beach, FL 32459",Worker killed in fall from truck. ,Fatality,,,,,,,,,,,,,,
3/15/2014,"BF Fort Myers Inc., Punta Gorda, FL 33951",Worker electrocuted while repairing machine.,Fatality,,,,,,,,,,,,,,
3/15/2014,"Eckhart Construction Services Inc., Matthews, NC 28104  ",Worker struck and killed by skid steer loader. ,Fatality,,,,,,,,,,,,,,
3/15/2014,"Full Service Scaffold, Sacramento, CA 94203",Worker killed in fall from scaffold platform. ,Fatality,,,,,,,,,,,,,,
3/15/2014,"Nabors Drilling Ltd, Fowlerton, TX 78021",Worker struck and killed by unsecured equipment.,Fatality,,,,,,,,,,,,,,
3/15/2014,"Prairie Ag Partners, Lake Preston, SD 57249",Worker engulfed by beans while cleaning storage bin.,Fatality,,,,,,,,,,,,,,
3/15/2014,"Saunier Moving and Storage, Smith Grove, KY 42171",Worker killed in truck fire after motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/14/2014,"Bruce Babb Chemicals, Rankin, TX 79778",Worker killed in a motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/14/2014,"Evergreen Golf Design Inc., Marysville, WA 98271",Worker killed when riding lawnmower flipped over onto him.,Fatality,,,,,,,,,,,,,,
3/14/2014,"First Graphic Services Inc., Garland, TX 75040",Worker struck and killed by falling signs. ,Fatality,,,,,,,,,,,,,,
3/14/2014,"Industrial Air, Inc., Greensboro, NC  27419",Worker died from fall while cleaning duct work box.,Fatality,,,,,,,,,,,,,,
3/14/2014,"Michels Pipeline Construction, Inc., Cedar Rapids, IA 52403",Worker struck and killed by metal boring rods during cutting.,Fatality,,,,,,,,,,,,,,
3/14/2014,"SIMMCO, Shreveport, LA 71149",Worker struck and killed when pipes rolled off trailer during unloading.,Fatality,,,,,,,,,,,,,,
3/13/2014,303 E Mifflin St ORWIGSBURG  PA 17961,Worker was run over by delivery truck.,Fatality,,,,,,,,,,,,,,
3/13/2014,"Bluffs Golf LLC, Saint Francisville, LA 70775",Worker died from head injury after being ejected from golf cart.,Fatality,,,,,,,,,,,,,,
3/13/2014,"City of North Bend, North Bend, OR 97459",Worker killed after being struck by truck's unsecured tailgate.,Fatality,,,,,,,,,,,,,,
3/13/2014,"Layton Manufacturing Corporation, Brooklyn, NY 11203",Worker died from carbon monoxide poisoning.,Fatality,,,,,,,,,,,,,,
3/12/2014,"Stark Truss, Auburn, KY 42206",Worker caught and killed in a press while trying to retrieve a hammer.,Fatality,,,,,,,,,,,,,,
3/12/2014,"TNT Oil Co., Irvine, PA 16329",Worker was killed when fuel tank exploded. ,Fatality,,,,,,,,,,,,,,
3/12/2014,"Your Employment Service Staffing Inc., Little Rock, AR 72209",Temporary worker killed in fall from rooftop. ,Fatality,,,,,,,,,,,,,,
3/11/2014,"Eaton Corporation, Sarasota, FL 34243",Worker struck and killed by a piece of equipment when a jack failed. ,Fatality,,,,,,,,,,,,,,
3/11/2014,"Glacier Fish Company, Dutch Harbor, AK 99692",Worker struck and killed by heavy object in explosion.,Fatality,,,,,,,,,,,,,,
3/11/2014,"Higa Meat and Pork Market Limited, Honolulu, HI 96817",Worker killed in fall from pallet of boxes.,Fatality,,,,,,,,,,,,,,
3/11/2014,"Mastec Advanced Technology, Dallas, TX 75238",Worker killed in motor vehicle collision. ,Fatality,,,,,,,,,,,,,,
3/11/2014,"Norandal USA Inc., Newport, AR 72112",Worker killed after being caught in machinery while clearing a jam. ,Fatality,,,,,,,,,,,,,,
3/11/2014,"Strike LLC, Corpus Christi, TX 78401",Four employees hospitalized with burns from a flash fire. ,Catastrophe,,,,,,,,,,,,,,
3/11/2014,"Wallowa County Grain Growers, Enterprise, OR 97828",Worker erecting grain silo died in scaffold collapse.,Fatality,,,,,,,,,,,,,,
3/10/2014,"AC Body Works & Sons LLC, Schenectady, NY 12306",Worker crushed between a truck and carwash spray booth. ,Fatality,,,,,,,,,,,,,,
3/10/2014,"Aloha Tree Service, Long Beach, CA  90813",Worker died from fall while performing tree trimming operations.,Fatality,,,,,,,,,,,,,,
3/10/2014,"Behr Iron & Steel Inc., South Beloit, IL 61080",Employer died after being caught in the tail pulley of a shredding machine conveyor belt. ,Fatality,,,,,,,,,,,,,,
3/10/2014,"Cardinal Transport Inc., Hanover, MN 55341",Worker struck and killed by pipe while loading truck.,Fatality,,,,,,,,,,,,,,
3/10/2014,"Dynamex, Hayward, CA 94545",Worker was struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
3/10/2014,"Little Richard Logging, Parish, NY 13131",Worker struck and killed while performing logging operations.,Fatality,,,,,,,,,,,,,,
3/10/2014,"M & M Striping & Power Washing LLC, Italy, TX 76651",Worker backed over by truck during litter control operations. ,Fatality,,,,,,,,,,,,,,
3/9/2014,"North Star Painting Co, Saint James, LA 70086",Worker killed in fall from bridge.,Fatality,,,,,,,,,,,,,,
3/9/2014,"R Betances Construccion LLC, Toa Baja, PR 00949",Worker was struck and killed by truck that was backing up.,Fatality,,,,,,,,,,,,,,
3/9/2014,"U. S. Postal Service, Buffalo, NY 14206",Worker died from head injury suffered in fall.,Fatality,,,,,,,,,,,,,,
3/8/2014,"DKJR Roofing, Remsen, IA 51051 ",Worker killed in fall from frost covered roof.,Fatality,,,,,,,,,,,,,,
3/8/2014,"Kraft Foods Group, Inc., Newberry, SC 29108",Worker killed after becoming caught in food blender during cleaning operations.,Fatality,,,,,,,,,,,,,,
3/7/2014,"Steve's Auto Service, Buffalo, NY 14211",Worker repairing a fuel pump was fatally burned when gasoline ignited.,Fatality,,,,,,,,,,,,,,
3/6/2014,"Adar Steel Inc, Brooklyn, NY 11249",Worker killed in fall while installing decking.,Fatality,,,,,,,,,,,,,,
3/6/2014,"Adventure Photo Tours Inc.,  Overton, NV 89040",Worker was pinned and crushed between rolling vehicle and rocks.,Fatality,,,,,,,,,,,,,,
3/6/2014,"Bushwick Metals LLC, South Plainfield, NJ 07080",Worker crushed by steel beams.,Fatality,,,,,,,,,,,,,,
3/6/2014,"Valley Grove Dairy Farm, Hastings, MI 49058",Worker was fatally mauled by a bull.,Fatality,,,,,,,,,,,,,,
3/6/2014,"WW LLC, Brownfield, TX 79316",Worker crushed and killed by a tank.,Fatality,,,,,,,,,,,,,,
3/5/2014,"Acme Electric Company, Cedar Rapids, IA 52404",Worker was electrocuted by live electrical storage capacitor. ,Fatality,,,,,,,,,,,,,,
3/5/2014,"Colonial Plastics, Shelby Twp, MI 48315",Worker checking parts on an injection molding machine was crushed when the machine activated.,Fatality,,,,,,,,,,,,,,
3/4/2014,"PSEG, Ewing, NJ 08560",Three employees were hospitalized from a gas leak explosion.,Catastrophe,,,,,,,,,,,,,,
3/4/2014,"St. Vincent De Paul Particular Council of Flint, Flint, MI 48506",Worker was pinned and crushed between trailer and truck.,Fatality,,,,,,,,,,,,,,
3/4/2014,"Wolf Creek Ski Area, Pagosa Springs, CO 81147",Employee died in a cave-in caused by an avalanche. ,Fatality,,,,,,,,,,,,,,
3/3/2014,"Confluence Health,  Pateros, WA 98846",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/3/2014,"North Dakota Pipeline Company LLC, Grand Forks, ND 58201",Employee killed in a motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/3/2014,"Now and Never, Kersey, CO 80644",Worker killed from exposure to oil tank fumes. ,Fatality,,,,,,,,,,,,,,
3/2/2014,"Cardinal Logistics Management Corp, Roseburg, OR 97470",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
3/2/2014,"LTI Inc.,  Lynden, WA 98264",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
3/2/2014,"Mobile Diesel Service LLC, Roseburg, OR 97470",Worker performing maintenance on a semi-trailer was crushed between truck and service vehicle.,Fatality,,,,,,,,,,,,,,
3/2/2014,"Team Steel Fabricators LLC, Youngstown, OH 44505",Worker killed in maintenance shop fire.,Fatality,,,,,,,,,,,,,,
3/1/2014,"Bandera Drilling Co. Inc., Big Spring, TX 79720",Worker was crushed by forklift while making repairs. ,Fatality,,,,,,,,,,,,,,
3/1/2014,"Chad Menefee Construction, Mount Pleasant, TX 75455",Worker died when the dump truck he was operating rolled into a ditch. ,Fatality,,,,,,,,,,,,,,
2/28/2014,"Borough of Fair Lawn, Fair Lawn, NJ 07410",Worker died after falling from recycling vehicle.,Fatality,,,,,,,,,,,,,,
2/28/2014,"Borough of Fair Lawn, Fair Lawn, NJ 07410",Worker died in falling from recycling truck.,Fatality,,,,,,,,,,,,,,
2/28/2014,"C G Roxane Water Co., Benton, TN 37307",Worker struck and killed by forklift mast.,Fatality,,,,,,,,,,,,,,
2/28/2014,"East Coast Mines & Materials Corp., East Quogue, NY 11942",Worker killed after being engulfed by mulch.,Fatality,,,,,,,,,,,,,,
2/28/2014,"Fritchas, New Haven, IN 46774",Worker crushed by dump truck during snow removal.,Fatality,,,,,,,,,,,,,,
2/28/2014,"Nordstrom Inc., Spokane, WA  99201",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
2/28/2014,"Pace?s Hauling & Clearing, Clayton, NC  27527",Backhoe worker was struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
2/28/2014,"Wieser Concrete Products Inc., Portage, WI 53901",Worker crushed structure that fell from overhead crane.,Fatality,,,,,,,,,,,,,,
2/27/2014,"A & Z General Contractors Inc., Beach Haven, NJ 08008",Worker killed in fall from ladder. ,Fatality,,,,,,,,,,,,,,
2/27/2014,"Columbus Transport Inc., Chadbourn, NC 28431 ",Worker killed in fall on vertical steel rebar.,Fatality,,,,,,,,,,,,,,
2/27/2014,"Duke Energy, South Lebanon, OH 45065",Worker struck and killed by collapsed utility pole.  ,Fatality,,,,,,,,,,,,,,
2/27/2014,"Senaca Foods, Oakfield, WI 53065",Worker died after being caught in a lathe while performing maintenance. ,Fatality,,,,,,,,,,,,,,
2/27/2014,"Wallington Volunteer Fire Department, Wallington, NJ 07057",Worker responding to fire killed in fall from roof.,Fatality,,,,,,,,,,,,,,
2/26/2014,"Aztec Grading Inc., Peralta, NM 87042",Worker backed over and killed by a truck while paving the road.,Fatality,,,,,,,,,,,,,,
2/26/2014,"BT Inc., Kemmerer, WY 83101",Worker loading semi-trailer truck died in fall from elevated platform.,Fatality,,,,,,,,,,,,,,
2/26/2014,"Eliseo Castro, Houston, TX 77043",Worker was electrocuted when the leg of a scaffold he was dismantling contacted a power line.,Fatality,,,,,,,,,,,,,,
2/26/2014,"Heartland Manufacturing Group, Peculiar, MO 64078",Worker was crushed between two trucks.,Fatality,,,,,,,,,,,,,,
2/26/2014,"Simpson Environmental Services Inc., Hollywood, FL 33019",Worker killed in fall from scaffold. ,Fatality,,,,,,,,,,,,,,
2/25/2014,"J.F. Electric Incorporated, Pekin, IL 61554",Worker electrocuted while transferring power from transmission lines. ,Fatality,,,,,,,,,,,,,,
2/24/2014,"DIG Hydroponics, Sacramento, CA 95820",Worker fatally beaten and strangled.,Fatality,970514,,,,,,,,,,,,,
2/24/2014,"Hogan Inc., Naples, FL 34103",Worker electrocuted when the pole saw he was using to trim trees contacted power lines.,Fatality,,,,,,,,,,,,,,
2/24/2014,"Maverick Drilling, Missouri City, TX 77489",Two workers on a drilling rig were electrocuted after contacting overhead power lines.,Fatality,,,,,,,,,,,,,,
2/24/2014,"Pasadena Tank Corporation, Corpus Christi, TX 78409",Worker struck and killed by pipe that fell from crane.,Fatality,,,,,,,,,,,,,,
2/23/2014,"Five Star Roustabouts LLC, O'Brien, TX 79539",Worker struck and killed by motor vehicle.  ,Fatality,,,,,,,,,,,,,,
2/22/2014,"Kilgore Flares Co LLC,Toone, TN",Worker removing residual flare materials died from burns suffered in flash fire/explosion.,Fatality,,,,,,,,,,,,,,
2/22/2014,"Legal Sea Foods LLC, Huntington Station, NY 11746",Restaurant worker died from carbon monoxide exposure.,Fatality,,,,,,,,,,,,,,
2/22/2014,"Stubbs Heating and Cooling, Magee, MS 39111",Worker struck and killed by a crane boom.,Fatality,,,,,,,,,,,,,,
2/21/2014,"Keith R Olmsted, Shiocton, WI 54170",Worker struck and killed by a bulk milk trailer.,Fatality,,,,,,,,,,,,,,
2/21/2014,"MidSouth Elevator LLC, Jackson, MS 39212",Worker on top of elevator performing repairs was crushed against  ceiling when the elevator was activated.,Fatality,,,,,,,,,,,,,,
2/21/2014,"Ray Eager and Sons LLC, Cochranville, PA 19330",Worker using pressure washer was killed in fall through floor opening.,Fatality,,,,,,,,,,,,,,
2/21/2014,"Tacoma Moving & Storage Co., Kent, WA 98032",Worker was crushed between two trucks.,Fatality,,,,,,,,,,,,,,
2/21/2014,"Vintage Gardens Nursery & Feed, Portola, CA 96122",Worker was struck and killed by a falling tree.,Fatality,,,,,,,,,,,,,,
2/20/2014,"Film Allman LLC, Jesup, GA 31598",Film crew worker was struck and killed by a train while preparing to shoot a scene.,Fatality,,,,,,,,,,,,,,
2/20/2014,"Helena Chemical Company, Benton, IA 50835",Worker struck and killed when a steel belt conveyor system fell on him.,Fatality,,,,,,,,,,,,,,
2/20/2014,"Joseph Bates, Lexington, KY 40508",Worker was struck and killed by wood that fell from roof.,Fatality,,,,,,,,,,,,,,
2/20/2014,"Monti Home Improvements Inc., Monticello, IA 52310",Worker installing garage door died in fall from scaffold.,Fatality,,,,,,,,,,,,,,
2/19/2014,"Arkansas Steel Associates LLC, Newport, AR 72112",Employer killed by molten steel that spilled from an overhead crane. ,Fatality,,,,,,,,,,,,,,
2/19/2014,"Folsom Construction LLC, South Windsor, CT 06074",Owner and driver electrocuted when their dump truck contacted a transmission line.  ,Fatality,,,,,,,,,,,,,,
2/18/2014,"KB Oil and Gas, Inc., McKittrick, CA 93251",Worker killed in fall from oil rig cab.,Fatality,,,,,,,,,,,,,,
2/18/2014,"MGM Grand Las Vegas, Las Vegas, NV 89109",Worker died after tripping and falling on curb.  ,Fatality,,,,,,,,,,,,,,
2/18/2014,"Thermo Power Industries, Long Beach, CA 90802",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
2/17/2014,"B-L Rental & Sales, LLC, Batesburg, SC 29006",Worker performing repairs was crushed when backhoe collapsed.,Fatality,,,,,,,,,,,,,,
2/15/2014,"Bunn-O-Matic, Creston, IA 50801",Worker died after slipping and falling on icy stairs.,Fatality,,,,,,,,,,,,,,
2/15/2014,"Cyclone Trucking, Inc.                                                                    Douglas, WY 82633",Worker struck and killed by welding truck as it was backing-up.,Fatality,,,,,,,,,,,,,,
2/15/2014,"Cyclone Trucking, Inc., Douglas, WY  82633",Worker was struck and killed by truck as it was backing up.,Fatality,,,,,,,,,,,,,,
2/14/2014,"64 Stefanak Drive, West Middlesex, PA 16159",Worker died after being pinned between a tractor cab and trailer. ,Fatality,,,,,,,,,,,,,,
2/14/2014,"Il Dept of Transportation - Dist. 4 Wyoming Yard, Toulon, IL 61483",Worker was struck and killed by motor vehicle while assisting motorists.,Fatality,,,,,,,,,,,,,,
2/14/2014,"Logistics One, Inc., Fairlee, VT  05045",Worker was struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
2/14/2014,"Republic Steel, Lorain, OH 44055",Worker struck and killed by railroad car that derailed.,Fatality,,,,,,,,,,,,,,
2/14/2014,"Rexel Holdings USA Corp., Houston, TX 77024",Worker died in fall from a warehouse dock. ,Fatality,,,,,,,,,,,,,,
2/14/2014,"United States Steel Corporation, Clairton, PA 15025",Worker killed from fall into a trench.,Fatality,,,,,,,,,,,,,,
2/13/2014,"Thomas N. Richards & Son, Poland, ME 04274",Worker killed when a logging truck rolled over and crushed him.  ,Fatality,,,,,,,,,,,,,,
2/13/2014,"Volvo Construction Equipment & Services, San Leandro, CA  94577",Worker was crushed by machine that fell off its support stands.,Fatality,,,,,,,,,,,,,,
