Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
9/3/2014,"Givens & Houchin, Tompkinsville, KY 42167",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
9/3/2014,"Mechanical Air Contractors, Chicago, IL 60613",Worker killed in fall through floor hole.,Fatality,,,,,,,,,,,,,,
9/3/2014,"Technical Logistics Corp., Clinton Township, MI 48036",Worker electrocuted when dumpster box on truck bed contacted overhead power line.,Fatality,,,,,,,,,,,,,,
9/2/2014,"ABT Electric San Jose, CA  95134",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
9/2/2014,"California Accident RJ, Los Angeles, CA 90013",Worker killed in fall when temporary flooring collapsed.,Fatality,,,,,,,,,,,,,,
9/2/2014,"Croce Builders, Cranford, NJ 07016",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
9/2/2014,"Mencarini Brothers Vineyard Stockton, CA 95242                            ",Worker killed when truck went over embankment.,Fatality,,,,,,,,,,,,,,
9/2/2014,"Randy Rogers, Garland, TX 75040",Worker electrocuted when truck-mounted aerial lift contacted overhead power line.,Fatality,,,,,,,,,,,,,,
9/2/2014,"Slip & Structural Concrete, Inc.  Warsaw, NC 28398",Worker struck and killed by falling roof panel.,Fatality,,,,,,,,,,,,,,
9/2/2014,"West Texas Bull Dog Oil Field Services LLC, McCamey, TX 79752",Worker struck and killed by falling flare stack.,Fatality,,,,,,,,,,,,,,
9/1/2014,"Montauk Marine Basin Inc., Montauk, NY 11954",Owner drowned after falling from dock.,Fatality,,,,,,,,,,,,,,
9/1/2014,"Sharpe Holdings, La Belle, MO 63447",Worker killed in fall from stepladder.,Fatality,,,,,,,,,,,,,,
8/31/2014,"Shinn & Son Inc., Toppenish, WA 98948",Worker fatally crushed between tractor and trailer.,Fatality,,,,,,,,,,,,,,
8/30/2014,"Lancaster Inc., Christiansburg, VA 24068",Worker killed when forklift overturned.,Fatality,,,,,,,,,,,,,,
8/30/2014,"Lancaster Inc., Christiansburg, VA 24073",Worker struck and killed by forklift basket when the vehicle tipped over.,Fatality,,,,,,,,,,,,,,
8/30/2014,"Torres Towing Inc., Miami, FL 33147",Worker struck and killed by tow truck.,Fatality,,,,,,,,,,,,,,
8/29/2014,"Pegasus Land Surveyors Inc., Miramar, FL 33023",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
8/29/2014,"Ridge Andrews, Clovis, CA 93611",Worker fatally crushed by crossbars on skid steer.,Fatality,,,,,,,,,,,,,,
8/29/2014,"Root Brothers Farm, Albion, NY 14411",Migrant worker irrigating tomato field fatally crushed between two farm trucks.,Fatality,,,,,,,,,,,,,,
8/28/2014,"Big Jay Tree Service, Dedham, ME 04429",Worker in aerial lift struck and killed by falling tree.,Fatality,,,,,,,,,,,,,,
8/28/2014,"Enterprise Electrical Contracting Inc., Miami  FL 33147",Worker electrocuted by energized wire.,Fatality,,,,,,,,,,,,,,
8/28/2014,"European American Association, Chicago, IL 60625",Home help worker fatally stabbed.,Fatality,,,,,,,,,,,,,,
8/28/2014,"GreenLine Lawn and Landscape, New Castle, DE 19720",Worker fatally crushed between skid loader and dump truck.,Fatality,,,,,,,,,,,,,,
8/28/2014,"John Evans Company, West Valley City, UT 84120",Worker crushed by press frame.,Fatality,,,,,,,,,,,,,,
8/28/2014,"P. Moreno Trucking, Dallas, TX 75253",Worker killed in fall from hoist.,Fatality,,,,,,,,,,,,,,
8/28/2014,"Taylor Construction Inc., Georgetown, ID 83239",Two workers asphyxiated in oxygen-deficient manhole. ,Fatality,,,,,,,,,,,,,,
8/27/2014,"Creamer Sanzari A Joint Venture, Aberdeen, NJ 07747",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
8/27/2014,"Elite Medical Transport, Las Cruces, NM 88001",Fourworkers killed in plane crash while transportng patient.,Fatality,,,,,,,,,,,,,,
8/27/2014,"Westco Builders Inc., Jetersville, VA 23083",Worker electrocuted when crane contacted overhead power line.,Fatality,,,,,,,,,,,,,,
8/26/2014,"City of Camden DPW - Electrical Bureau, Camden, NJ 08103",Worker in bucket of work platform truck struck and killed  by tractor trailer.,Fatality,,,,,,,,,,,,,,
8/26/2014,"Katoen Natie Gulf Coast Inc., La Porte, TX 77571",Worker struck and killed by rail car.,Fatality,,,,,,,,,,,,,,
